Date,ESM6C 2080 Index  (R1),ESM6C 2085 Index  (L1),ESM6C 2090 Index  (R1),ESM6C 2095 Index  (L1),ESM6C 2100 Index  (R1),ESM6C 2105 Index  (L1),ESM6C 2110 Index  (R1),ESM6C 2115 Index  (L1),ESM6C 2120 Index  (R1),ESM6C 2125 Index  (R1),ESM6C 2130 Index  (R1),ESM6C 2135 Index  (L1),ESM6C 2140 Index  (R1),ESM6C 2145 Index  (L1),ESM6C 2150 Index  (R1),ESM6C 2155 Index  (L1),ESM6C 2160 Index  (L1),ESM6C 2165 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
4/14/2016,44.25,41.25,38.25,35.5,32.75,30,27.5,25,22.75,20.5,18.5,16.5,14.75,13,11.5,10.25,9,7.75,46,48.25,45.5,47.25
4/13/2016,44.5,41.5,38.5,35.5,33,30.25,27.75,25.25,23,20.75,18.75,16.75,14.75,13,11.5,10,8.5,7.5,41.75,47.5,41.75,47.5
4/12/2016,35.75,33,30.5,28,25.5,23.25,21.25,19,17.25,15.25,13.5,12,10.5,9,8,6.75,5.75,4.95,31.5,38.75,31.5,38.5
4/11/2016,28.5,26,23.75,21.5,19.5,17.75,15.75,14,12.5,11,9.75,8.5,7.5,6.5,5.5,4.75,4.05,3.45,37.25,37.25,30.5,30.75
4/8/2016,30.75,28.25,25.75,23.5,21.5,19.5,17.5,15.5,14,12.25,10.75,9.5,8.25,7,6,5,4.35,3.65,39,39,31.75,33.25
4/7/2016,30.25,27.75,25.5,23.5,21.5,19.5,17.5,15.75,14.25,12.5,11.25,9.75,8.5,7.5,6.5,5.5,4.85,4.15,37,37,29.75,32.5
4/6/2016,39.5,36.5,34,31.5,29,26.5,24.25,22.25,20,18.25,16.5,14.5,13,11.5,10,8.75,7.75,6.5,37,39.75,34.5,42.25
4/5/2016,31.75,29.5,27.25,25,23,21,19,17.25,15.5,14,12.5,11,9.75,8.75,7.5,6.5,5.75,5,36,36,34.5,34.25
4/4/2016,38.5,35.75,33,30.5,28,25.75,23.75,21.75,19.75,18,16,14.5,12.75,11.25,10,8.75,7.5,6.5,44,47,41.75,41.25
4/1/2016,41.25,38.5,35.75,33,30.5,28.25,25.75,23.5,21.5,19.25,17.5,15.5,14,12.25,10.75,9.5,8.25,7.25,35.25,44.5,35.25,44.25
3/31/2016,36.25,33.5,31,28.5,26.25,24,22,20,18,16.25,14.5,13,11.5,10.25,9,7.75,6.75,5.75,40,41.75,40,39
3/30/2016,37.5,34.75,32.25,29.75,27.25,25,22.75,20.75,18.75,17,15.25,13.5,12,10.5,9.5,8.25,7,6.25,41.5,44,40.25,40.25
3/29/2016,35.25,32.75,30.5,28,25.75,23.5,21.5,19.5,17.75,16,14.25,12.75,11.25,10,8.75,7.75,6.75,6,33.75,37,30.25,37.75
3/28/2016,29.75,27.5,25.25,23.25,21.25,19.5,17.75,16,14.5,13,11.5,10.5,9.25,8.25,7.25,6.25,5.5,4.85,31,33.5,31,32
3/24/2016,31,28.75,26.5,24.5,22.5,20.5,18.75,17,15.5,14,12.5,11.25,10,8.75,7.75,7,6,5.25,29,32,29,33.5
3/23/2016,31.5,29,27,24.75,22.75,21,19,17.25,15.75,14,12.75,11.25,10,9,7.75,7,6,5.25,35.25,35.25,32.5,33.75
3/22/2016,36.25,33.75,31.25,29,26.5,24.5,22.25,20.25,18.5,16.5,15,13.5,12,10.5,9.25,8,7,6.25,35.25,41,35.25,39
3/21/2016,36.75,34,31.5,29.25,27,25,22.75,21,19,17.25,15.5,14,12.5,11,9.75,8.5,7.5,6.5,39,40.25,39,39.25
3/18/2016,36.25,33.75,31.5,29,27,24.75,22.75,21,19,17.5,15.75,14.25,12.75,11.5,10,9,7.75,7,37.75,40.5,35.75,38.75
3/17/2016,33.75,31.5,29,27,24.75,22.75,21,19,17.5,15.75,14.25,12.75,11.5,10,9,8,7,6.25,30.75,37.25,30.75,36.25
3/16/2016,29.75,27.5,25.5,23.5,21.5,19.5,17.75,16,14.5,13.25,12,10.75,9.5,8.5,7.5,6.5,5.75,4.95,29.5,33.25,29.5,32
3/15/2016,28,25.75,23.75,22,20.25,18.5,17,15.5,14,12.75,11.5,10.25,9,8,7.25,6.5,5.5,4.95,27.25,29.75,27.25,30
3/14/2016,29,27,25,23,21.25,19.5,17.75,16.25,14.75,13.25,12,10.75,9.5,8.5,7.5,6.5,5.75,5,32.5,32.75,31.25,31.25
3/11/2016,31.25,29,27,25,23,21.25,19.5,17.75,16,14.5,13.25,12,10.75,9.5,8.5,7.75,6.75,6,30,33.75,29,33.5
3/10/2016,22.5,20.75,19,17.5,16,14.75,13.5,12,11,9.75,8.75,7.75,7,6,5.5,4.75,4.15,3.6,28,28,23.25,24.25
3/9/2016,23.25,21.5,20,18.5,17,15.5,14.25,13,11.75,10.5,9.5,8.5,7.5,6.75,6,5.5,4.7,4.1,25,25,25,25
3/8/2016,21.5,20,18.5,17,15.5,14,13,11.75,10.5,9.5,8.5,7.5,6.75,6,5.25,4.65,4.05,3.5,23.25,23.25,23.25,23.25
3/7/2016,26,24,22.25,20.5,19,17.25,15.75,14.5,13,11.75,10.75,9.5,8.5,7.75,7,6,5.5,4.7,26.75,26.75,26.75,27.75
3/4/2016,24.75,23,21,19.5,18,16.5,15,13.5,12.5,11.25,10,9,8,7.25,6.5,5.75,5,4.4,24.5,29.75,24.5,26.5
3/3/2016,23.5,21.75,20.25,18.75,17.25,15.75,14.5,13,12,10.75,9.75,8.75,7.75,7,6.25,5.5,4.95,4.4,24.25,25.25,22.5,25.25
3/2/2016,21.75,20.25,18.5,17,15.5,14.25,13,11.5,10.5,9.5,8.5,7.5,6.5,6,5.25,4.6,4,3.5,23.5,23.5,23.5,23.5
3/1/2016,21,19.5,18,16.5,15.25,14,12.75,11.5,10.5,9.5,8.5,7.5,6.75,6,5.25,4.65,4.05,3.5,14.75,21.25,14.75,22.75
2/29/2016,12.75,11.75,10.75,9.75,8.75,8,7.25,6.5,5.75,5.25,4.6,4.1,3.6,3.2,2.8,2.45,2.1,1.85,17.25,18.25,16.5,14
2/26/2016,15.5,14.5,13.25,12,11,10,9,8.25,7.5,6.5,6,5.25,4.75,4.25,3.75,3.3,2.95,2.6,20.75,21.5,20.5,17
2/25/2016,17.25,16,14.75,13.5,12.5,11.5,10.5,9.5,8.5,7.75,7,6.25,5.5,5,4.5,3.95,3.5,3.1,16.25,17.5,15,18.75
2/24/2016,15,14,12.75,11.75,10.75,10,9,8.25,7.5,6.75,6,5.5,4.95,4.4,3.95,3.55,3.15,2.8,11.5,15.75,10,16.25
2/23/2016,12.25,11.25,10.25,9.25,8.5,7.75,7,6.25,5.75,5,4.55,4.1,3.65,3.25,2.9,2.6,2.3,2.05,15.25,16.25,14.25,13.25
2/22/2016,15.25,14,13,12,11,10,9,8.25,7.5,6.75,6,5.5,4.85,4.35,3.85,3.45,3.05,2.7,16.5,16.5,16.5,16.5
2/19/2016,13,12,11,10,9,8.25,7.5,6.75,6,5.5,4.9,4.4,3.9,3.45,3.05,2.7,2.35,2.05,14,14.25,13.75,14.25
2/18/2016,15,13.75,12.75,11.75,10.75,9.75,9,8,7.25,6.5,6,5.5,4.8,4.25,3.8,3.35,2.95,2.6,18.5,18.5,18.25,16.25
2/17/2016,17.75,16.5,15.5,14.25,13,12,11,10.25,9.25,8.5,7.75,7,6.5,5.75,5.25,4.6,4.1,3.65,18.5,19.75,18.5,19
2/16/2016,13.25,12.25,11.25,10.5,9.5,8.75,8,7.5,6.75,6.25,5.5,5,4.6,4.15,3.75,3.4,3.05,2.75,13.75,13.75,12.75,14.25
2/12/2016,10.5,9.75,9,8.25,7.5,7,6.5,5.75,5.25,4.8,4.3,3.9,3.5,3.15,2.85,2.55,2.25,2,10.25,10.25,10.25,11.25
2/11/2016,7.25,6.5,6,5.5,5,4.7,4.3,3.9,3.55,3.25,2.95,2.65,2.4,2.2,2,1.8,1.6,1.45,7.75,7.75,7.75,7.75
2/10/2016,9,8.25,7.5,7,6.5,6,5.5,4.9,4.45,4.05,3.65,3.25,2.95,2.65,2.35,2.1,1.85,1.65,10.75,11.25,10.75,9.75
2/9/2016,9.5,8.75,8,7.5,6.75,6.25,5.75,5.25,4.85,4.4,4,3.65,3.3,2.95,2.65,2.4,2.15,1.9,9,9,9,10
2/8/2016,9.75,9,8.5,7.75,7.25,6.5,6,5.5,5,4.7,4.3,3.9,3.55,3.2,2.9,2.6,2.35,2.1,10.5,10.5,10.5,10.5
2/5/2016,11.75,11,10.25,9.5,8.75,8,7.5,6.75,6.25,5.75,5.25,4.7,4.25,3.85,3.55,3.2,2.85,2.6,12.5,12.5,12.5,12.5
2/4/2016,16.25,15,14,13,12,11,10.25,9.5,8.5,8,7.25,6.5,6,5.5,4.9,4.4,3.95,3.55,17.75,17.75,17.75,17.5
2/3/2016,15.5,14.25,13.25,12.25,11.25,10.25,9.5,8.75,8,7.25,6.5,6,5.5,5,4.5,4.1,3.7,3.35,11,16.75,11,16.5
2/2/2016,13.75,12.75,11.75,11,10,9.25,8.5,7.75,7,6.5,6,5.25,4.8,4.35,3.9,3.5,3.1,2.8,15,15,14.5,14.75
2/1/2016,19.5,18,16.75,15.5,14.5,13.5,12.5,11.5,10.5,9.5,8.75,8,7.25,6.5,6,5.5,4.9,4.4,21,21,21,20.75
1/29/2016,19.75,18.5,17.25,16,15,14,13,12,11,10,9.25,8.5,7.75,7,6.5,6,5.5,4.85,16.25,21.25,16.25,21.25
1/28/2016,12,11.25,10.5,9.5,9,8.25,7.5,7,6.5,6,5.5,4.95,4.5,4.1,3.75,3.4,3.05,2.8,14.25,14.5,14.25,13
1/27/2016,12.5,11.75,11,10,9.5,8.75,8,7.5,7,6.5,6,5.5,5,4.55,4.2,3.85,3.5,3.2,16.75,16.75,16.75,13.5
1/26/2016,15.75,14.75,13.75,12.75,12,11,10.25,9.5,8.75,8,7.5,7,6.25,5.75,5.25,4.8,4.35,3.95,12,17.25,12,17
1/25/2016,12.25,11.25,10.5,9.75,9,8.5,7.75,7,6.5,6,5.5,5,4.7,4.3,3.95,3.6,3.3,3,13,13,13,13
1/22/2016,16.5,15.5,14.5,13.5,12.5,11.5,10.75,10,9.25,8.5,8,7.25,6.75,6,5.5,5.25,4.75,4.35,17.5,17.5,17.5,17.5
1/21/2016,12.75,12,11.25,10.5,9.75,9,8.5,7.75,7.25,6.5,6,5.5,5.25,4.75,4.35,4,3.65,3.35,16,16,16,13.75
1/20/2016,12,11,10.25,9.5,9,8.25,7.75,7,6.5,6,5.5,5.25,4.8,4.4,4.05,3.75,3.45,3.15,9,9,9,12.75
1/19/2016,13.75,12.75,12,11,10.25,9.5,9,8.25,7.5,7,6.5,6,5.5,5,4.6,4.2,3.85,3.5,18,18,15,14.75
1/15/2016,15.5,14.5,13.5,12.5,11.75,11,10,9.5,8.75,8,7.5,6.75,6.25,5.75,5.5,4.95,4.55,4.15,19.5,19.5,16,16.5
1/14/2016,22,20.5,19.25,18,17,16,14.75,13.75,12.75,12,11,10.25,9.5,8.75,8,7.5,7,6.5,17.75,21.5,17.75,23.25
1/13/2016,16.5,15.5,14.5,13.5,12.5,11.75,11,10.25,9.5,8.75,8.25,7.5,7,6.5,6,5.5,5,4.7,21.25,21.5,21,17.5
1/12/2016,23.5,22.25,20.75,19.5,18.25,17,16,15,14,13,12,11,10.25,9.5,8.75,8,7.5,7,25,25,25,25
1/11/2016,22.25,21,19.5,18.5,17.25,16,15,14,13,12,11,10.25,9.5,8.75,8.25,7.5,7,6.5,25,25,25,23.75
1/8/2016,26,24.75,23.25,22,20.75,19.5,18.25,17.25,16,15,14.25,13.25,12.5,11.5,10.75,10,9.5,8.75,27.5,27.5,27.5,27.5
1/7/2016,30.75,29,27.5,26,24.5,23.25,21.75,20.5,19.25,18,17,15.75,14.75,13.75,13,12,11.25,10.5,32.5,32.5,32.5,32.5
1/6/2016,44.75,42.5,40.5,38.5,36.5,34.5,32.75,31,29.25,27.5,26,24.5,23,21.5,20.25,19,17.75,16.5,47,47,47,47
1/5/2016,54.5,52,49.75,47.5,45.25,43,41,38.75,36.75,35,33,31,29.5,27.75,26,24.5,23,21.5,57,57,57,57
1/4/2016,55.75,53.25,51,48.75,46.5,44.25,42.25,40,38,36,34.25,32.5,30.5,29,27.25,25.75,24,22.75,58,58,58,58
12/31/2015,65.5,63,60.25,57.75,55.25,53,50.5,48.25,46,43.75,41.5,39.5,37.5,35.5,33.5,31.75,30,28,68.25,68.25,68.25,68.25
12/30/2015,74.5,71.75,69,66.25,63.5,61,58.5,56,53.5,51,48.75,46.5,44.25,42,40,38,36,34,77.5,77.5,77.5,77.5
12/29/2015,83.5,80.5,77.75,74.75,72,69,66.5,63.75,61,58.5,56,53.5,51,48.5,46.25,44,41.75,39.5,86.5,86.5,86.5,86.5
12/28/2015,72.25,69.5,66.75,64,61.5,59,56.5,54,51.5,49.25,47,44.75,42.5,40.5,38.5,36.5,34.5,32.5,75,75,75,75
12/24/2015,75,72.25,69.5,67,64.25,61.75,59.25,56.75,54.25,52,49.5,47.25,45,43,40.75,38.75,36.75,34.75,77.75,77.75,77.75,77.75
12/23/2015,76,73,70.5,67.75,65,62.5,60,57.5,55,52.5,50.25,48,45.75,43.5,41.25,39.25,37.25,35.25,73,73,73,78.75
12/22/2015,68.75,66,63.5,61,58.5,56,53.75,51.5,49,47,44.75,42.5,40.5,38.5,36.5,34.75,33,31,64.25,64.25,64.25,71.5
12/21/2015,62,59.5,57,54.75,52.5,50.25,48,46,44,42,40,38,36,34.25,32.5,31,29.25,27.75,64.5,64.5,64.5,64.5
12/18/2015,55,52.75,50.5,48.5,46.25,44.25,42.25,40.25,38.25,36.5,34.75,33,31.25,29.5,28,26.5,25,23.5,66.5,66.5,66.5,57.25
12/17/2015,67.5,,62.5,,57.5,,53,,48.5,46.25,44,,40,,36.25,,32.5,,70,70,70,70
12/16/2015,85,,79.25,,73.5,,68.25,,63,60.5,58,,53.25,,48.5,,44.25,,87.75,87.75,87.75,87.75
12/15/2015,75,,69.75,,64.75,,59.75,,55,52.75,50.5,,46.25,,42.25,,38.25,,77.75,77.75,77.75,77.75
12/14/2015,65,,60,,55.5,,51,,46.75,44.75,42.75,,39,,35.5,,32,,67.5,67.5,67.5,67.5
12/11/2015,64.5,,60,,55.5,,51,,47,45,43,,39.25,,35.5,,32.25,,67,67,67,67
12/10/2015,77.75,,72.5,,67.25,,62.5,,57.5,55.25,53,,48.5,,44.5,,40.5,,80.5,80.5,80.5,80.5
12/9/2015,74.25,,69,,64,,59,,54.5,52.25,50,,45.75,,41.75,,37.75,,77,77,77,77
12/8/2015,81.5,,76,,70.75,,65.5,,60.5,58.25,55.75,,51.25,,46.75,,42.5,,84.5,84.5,84.5,84.5
12/7/2015,91.5,,85.5,,79.75,,74.25,,68.75,66.25,63.5,,58.5,,53.75,,49.25,,94.5,94.5,94.5,94.5
12/4/2015,95.75,,89.75,,83.75,,78,,72.5,69.75,67.25,,62,,57,,52,,98.75,98.75,98.75,98.75
12/3/2015,78.75,,73.5,,68,,63,,58,55.75,53.5,,49,,44.5,,40.5,,89,89,89,81.5
12/2/2015,93.5,,87.5,,81.75,,76,,70.75,68,65.5,,60.25,,55.5,,50.75,,96.5,96.5,96.5,96.5
12/1/2015,103,,96.75,,90.5,,84.75,,79,76,73.25,,68,,62.75,,57.75,,106.25,106.25,106.25,106.25
11/30/2015,94.5,,88.5,,83,,77.25,,72,69.25,66.75,,61.75,,57,,52.25,,97.5,97.5,97.5,97.5
11/27/2015,100,,94,,88,,82.25,,76.75,74,71.25,,66,,61,,56.25,,103,103,103,103
11/25/2015,99.5,,93.5,,87.5,,82,,76.5,73.75,71,,65.75,,60.75,,56,,102.5,102.5,102.5,102.5
11/24/2015,98.5,,92.75,,87,,81.25,,75.75,73,70.5,,65.5,,60.5,,55.75,,101.5,101.5,101.5,101.5
11/23/2015,98.75,,92.75,,87,,81.25,,75.75,73,70.25,,65.25,,60.25,,55.5,,101.75,101.75,101.75,101.75
11/20/2015,102.5,,96.5,,90.5,,84.75,,79.25,76.5,73.75,,68.5,,63.5,,58.5,,105.5,105.5,105.5,105.5
11/19/2015,99.25,,93.25,,87.5,,82,,76.5,74,71.25,,66.25,,61.5,,56.75,,102.25,102.25,102.25,102.25
11/18/2015,97.25,,91.5,,85.75,,80,,74.75,72,69.5,,64.5,,59.75,,55,,100.25,100.25,100.25,100.25
11/17/2015,83.5,,78.25,,73,,68,,63,60.75,58.5,,54,,49.5,,45.5,,86.25,86.25,86.25,86.25
11/16/2015,82.25,,77,,71.75,,66.75,,62,59.5,57.25,,52.75,,48.5,,44.5,,85,85,85,85
11/13/2015,72,,67.25,,62.5,,58,,53.5,51.5,49.5,,45.5,,41.5,,38,,74.5,74.5,74.5,74.5
11/12/2015,79.5,,74.25,,69.25,,64.25,,59.5,57.25,55,,50.75,,46.5,,42.5,,98,98,98,82
11/11/2015,91,,85.25,,79.75,,74.25,,69,66.5,64,,59.25,,54.5,,50.25,,98,98,98,93.75
11/10/2015,95,,89,,83.5,,78,,72.5,70,67.5,,62.5,,57.75,,53,,94,94,94,98
11/9/2015,94.5,,88.75,,83,,77.5,,72.25,69.75,67,,62.25,,57.5,,53,,94,94,94,97.5
11/6/2015,104.25,,98,,92,,86.25,,80.75,78,75.25,,70,,64.75,,60,,107.25,107.25,107.25,107.25
11/5/2015,105.75,,99.75,,93.75,,88,,82.25,79.5,76.75,,71.5,,66.25,,61.25,,110,110,110,109
11/4/2015,106.75,,100.5,,94.75,,89,,83.25,80.5,77.75,,72.5,,67.25,,62.25,,110,110,110,109.75
11/3/2015,109.75,,103.5,,97.25,,91.5,,85.5,82.75,80,,74.5,,69,,64,,113,113,113,113
11/2/2015,104.5,,98.25,,92.25,,86.5,,81,78,75.5,,70,,65,,60,,107.5,107.5,107.5,107.5
10/30/2015,95,,89,,83.5,,78,,72.75,70.25,67.75,,62.75,,58,,53.5,,97.75,97.75,97.75,97.75
10/29/2015,100,,94.25,,88.5,,82.75,,77.5,74.75,72,,67,,62.25,,57.5,,103,103,103,103
10/28/2015,101,,95,,89.25,,83.5,,78,75.5,72.75,,67.75,,62.75,,58,,104,104,104,104
10/27/2015,88.75,,83.25,,78,,72.5,,67.5,65,62.75,,58,,53.5,,49.25,,91.5,91.5,91.5,91.5
10/26/2015,90,,84.5,,79,,73.75,,68.75,66.25,64,,59.25,,54.75,,50.5,,93,93,93,93
10/23/2015,91,,85.5,,80,,74.5,,69.5,67,64.5,,59.75,,55.25,,50.75,,94,94,94,94
10/22/2015,83.25,,77.75,,72.5,,67.5,,62.75,60.25,58,,53.5,,49.25,,45,,86,86,86,86
10/21/2015,66,,61.5,,57,,52.75,,48.5,46.5,44.75,,41,,37.5,,34,,68.5,68.5,68.5,68.5
10/20/2015,69.75,,65,,60.25,,55.75,,51.5,49.25,47.25,,43.5,,39.75,,36.25,,72.25,72.25,72.25,72.25
10/19/2015,72,,67,,62.25,,57.5,,53.25,51,49,,45,,41.25,,37.5,,74.5,74.5,74.5,74.5
10/16/2015,74.5,,69.5,,64.75,,60.25,,55.75,53.75,51.5,,47.5,,43.5,,40,,77,77,77,77
10/15/2015,72.5,,67.75,,63.25,,58.75,,54.5,52.25,50.25,,46.25,,42.5,,39,,75,75,75,75
10/14/2015,61.25,,57,,52.75,,49,,45,43.25,41.5,,38,,34.75,,31.75,,63.5,63.5,63.5,63.5
10/13/2015,64.5,,60.25,,56,,51.75,,48,46,44.25,,40.5,,37.25,,34,,67,67,67,67
10/12/2015,69.5,,64.75,,60,,55.75,,51.5,49.5,47.5,,43.75,,40,,36.5,,71.75,71.75,71.75,71.75
10/9/2015,70.75,,66,,61.5,,57.25,,53,51,49,,45.25,,41.5,,38,,73.25,73.25,73.25,73.25
10/8/2015,71,,66.5,,62,,57.75,,53.5,51.5,49.5,,45.75,,42.25,,38.75,,73.5,73.5,73.5,73.5
10/7/2015,64.75,,60.5,,56.25,,52.25,,48.25,46.5,44.5,,41,,37.75,,34.75,,67,67,67,67
10/6/2015,58.75,,54.75,,50.75,,47,,43.5,42,40.25,,37,,34,,31,,61,61,61,61
10/5/2015,61.5,,57.25,,53.25,,49.5,,45.75,44,42.25,,38.75,,35.75,,32.75,,63.5,63.5,63.5,63.5
10/2/2015,52,,48.25,,44.75,,41.5,,38.25,36.75,35.25,,32.25,,29.5,,27,,54,54,54,54
10/1/2015,45.75,,42.5,,39.25,,36.25,,33.25,32,30.5,,28,,25.5,,23.25,,47.5,47.5,47.5,47.5
9/30/2015,44,,41,,37.75,,35,,32,30.75,29.5,,27,,24.5,,22.5,,45.75,45.75,45.75,45.75
9/29/2015,35.75,,33,,30.5,,28,,25.5,24.5,23.25,,21.25,,19.25,,17.5,,37.25,37.25,37.25,37.25
9/28/2015,35.5,,32.75,,30.25,,27.75,,25.25,24.25,23,,21,,19,,17.25,,37,37,37,37
9/25/2015,47,,43.75,,40.5,,37.25,,34.25,32.75,31.5,,28.75,,26.25,,24,,49,49,49,49
9/24/2015,47,,43.5,,40.25,,37.25,,34.25,32.75,31.5,,28.75,,26,,23.75,,48.75,48.75,48.75,48.75
9/23/2015,48,,44.5,,41,,37.75,,34.5,33,31.75,,29,,26.5,,24,,49.75,49.75,49.75,49.75
9/22/2015,51,,47.25,,43.75,,40.5,,37.25,35.75,34.25,,31.5,,28.5,,26,,52.75,52.75,52.75,52.75
9/21/2015,58.75,,54.75,,50.75,,47,,43.5,41.75,40,,36.75,,33.75,,30.75,,61,61,61,61
9/18/2015,58.25,,54.25,,50.5,,46.75,,43.25,41.5,40,,37,,34,,31,,60.25,60.25,60.25,60.25
9/17/2015,68,,63.5,,59.5,,55.25,,51.5,49.5,47.5,,44,,40.5,,37.5,,70.25,70.25,70.25,70.25
9/16/2015,72,,67.5,,63.25,,59,,55,53,51,,47.25,,43.5,,40.25,,74.5,74.25,69,74.5
9/15/2015,69.5,,65.25,,61,,57,,53.25,51.25,49.5,,46,,42.5,,39.5,,71.75,72.25,63.75,71.75
9/14/2015,64.5,,60.5,,56.5,,52.75,,49,47.25,45.5,,42.25,,39,,36.25,,66,66,66,66.5
9/11/2015,65.25,,61.25,,57.25,,53.5,,50,48.25,46.5,,43.25,,40,,37,,67.5,67.25,61.25,67.5
9/10/2015,62.25,,58.25,,54.5,,51,,47.5,45.75,44,,41,,38,,35,,64.25,70,61.75,64.25
9/9/2015,61.5,,57.75,,54,,50.5,,47,45.5,43.75,,40.75,,37.75,,35,,63.5,80.5,62.5,63.5
