Date,ESM6C 1805 Index,ESM6C 1810 Index,ESM6C 1815 Index,ESM6C 1820 Index,ESM6C 1825 Index,ESM6C 1830 Index,ESM6C 1835 Index,ESM6C 1800 Index,ESM6C 1840 Index,ESM6C 1845 Index,ESM6C 1850 Index,ESM6C 1855 Index,ESM6C 1860 Index,ESM6C 1865 Index,ESM6C 1870 Index,ESM6C 1875 Index,ESM6C 1880 Index,Open,High,Low,Close
5/23/2016,,,,,,,,,,,,,191.25,,,,,,,,
5/20/2016,246.25,241.25,236.25,231.25,226.5,221.5,216.5,251,211.5,206.75,202,197,192,187.25,182.5,177.5,172.75,251,251,251,251
5/19/2016,235.75,230.75,226,221,216,211.25,206.5,240.5,201.5,196.75,192,187,182.25,177.5,172.5,168,163,240.5,240.5,240.5,240.5
5/18/2016,238.5,233.5,228.75,223.75,219,214,209.25,243.5,204.5,199.5,194.75,190,185,180.25,175.5,170.75,166,243.5,243.5,243.5,243.5
5/17/2016,240.5,235.75,230.75,226,221,216,211.25,245.5,206.5,201.5,196.75,192,187,182.25,177.5,172.75,168,245.5,245.5,245.5,245.5
5/16/2016,259,254.25,249.25,244.25,239.5,234.5,229.75,264,224.75,220,215,210,205.25,200.5,195.5,190.75,186,264,264,264,264
5/13/2016,240.75,236,231,226.25,221.25,216.5,211.5,245.75,206.75,202,197.25,192.5,187.5,182.75,178,173.25,168.5,245.75,245.75,245.75,245.75
5/12/2016,255.5,250.75,245.75,241,236,231.25,226.25,260.5,221.5,216.5,211.75,207,202,197.25,192.5,187.5,182.75,260.5,260.5,260.5,260.5
5/11/2016,255,250.25,245.25,240.5,235.5,230.75,225.75,260,221,216,211.25,206.5,201.5,196.75,192,187.25,182.5,260,260,260,260
5/10/2016,274.25,269.25,264.25,259.5,254.5,249.5,244.75,279,239.75,235,230,225,220.25,215.5,210.5,205.75,201,279,279,279,279
5/9/2016,251.75,246.75,242,237,232.25,227.25,222.5,256.5,217.5,212.75,208,203.25,198.5,193.5,188.75,184,179.5,256.5,256.5,256.5,256.5
5/6/2016,250.5,245.75,240.75,236,231.25,226.25,221.5,255.5,216.75,212,207,202.25,197.5,192.75,188,183.5,178.75,255.5,255.5,255.5,255.5
5/5/2016,242.75,238,233,228.25,223.5,218.75,214,247.5,209.25,204.5,200,195.25,190.5,185.75,181,176.5,172,252.5,252.5,247.5,247.5
5/4/2016,246,241.25,236.5,231.5,227,222,217.5,250.75,212.75,208,203,198.5,193.75,189,184.25,179.5,175,250.75,250.75,250.75,250.75
5/3/2016,255.75,251,246,241.25,236.5,231.75,227,260.5,222.25,217.5,212.75,208,203.25,198.5,194,189.25,184.5,260.5,260.5,260.5,260.5
5/2/2016,272.5,267.5,262.75,258,253,248.25,243.5,277.25,238.5,233.75,229,224.25,219.5,214.5,210,205.25,200.5,277.25,277.25,277.25,277.25
