Date,ESM6C 1805 Index,ESM6C 1810 Index,ESM6C 1815 Index,ESM6C 1820 Index,ESM6C 1825 Index,ESM6C 1830 Index,ESM6C 1835 Index,ESM6C 1800 Index,ESM6C 1840 Index,ESM6C 1845 Index,ESM6C 1850 Index,ESM6C 1855 Index,ESM6C 1860 Index,ESM6C 1865 Index,ESM6C 1870 Index,ESM6C 1875 Index,ESM6C 1880 Index,Open,High,Low,Close
4/29/2016,258.75,254,249.25,244.5,239.5,234.75,230,263.5,225.25,220.5,216,211.25,206.5,202,197.25,192.5,187.75,263.5,263.5,263.5,263.5
4/28/2016,271.5,266.5,261.75,257,252,247.25,242.5,276.25,237.5,232.75,228,223.5,218.75,214,209.25,204.5,200,276.25,276.25,276.25,276.25
4/27/2016,288.5,283.5,278.75,274,269,264.25,259.25,293.5,254.5,249.5,244.75,240,235,230.5,225.5,220.75,216,301,301,295.25,293.5
4/26/2016,286.5,281.5,276.75,272,267,262.25,257.5,291.5,252.75,248,243,238.25,233.5,228.5,223.75,219,214.25,291.5,291.5,291.5,291.5
4/25/2016,281.75,277,272,267.25,262.5,257.5,252.75,286.75,248,243.25,238.5,233.5,228.75,224,219.25,214.5,210,286.75,286.75,286.75,286.75
4/22/2016,284.5,279.75,274.75,270,265.25,260.5,255.5,289.5,250.75,246,241.25,236.5,231.5,226.75,222,217.25,212.5,289.5,289.5,289.5,289.5
4/21/2016,282,277,272.25,267.5,262.75,258,253,286.75,248.25,243.5,238.75,234,229,224.5,219.75,215,210.25,286.75,286.75,286.75,286.75
4/20/2016,296.5,291.75,286.75,282,277,272.25,267.5,301.5,262.5,257.75,253,248.25,243.5,238.5,233.75,229,224.25,301.5,301.5,301.5,301.5
4/19/2016,292.5,287.5,282.75,278,273,268.25,263.5,297.25,258.5,253.75,249,244.25,239.5,234.75,230,225,220.25,297.25,297.25,297.25,297.25
4/18/2016,285.75,281,276,271.25,266.5,261.5,256.75,290.5,252,247.25,242.5,237.5,232.75,228,223.5,218.75,214,290.5,290.5,290.5,290.5
4/15/2016,275.5,270.5,265.75,261,256.25,251.5,246.5,280,242,237.25,232.5,227.75,223,218.5,213.75,209,204.5,280,280,280,280
4/14/2016,277,272.25,267.5,262.75,258,253.25,248.5,282,243.75,239,234.5,229.75,225,220.25,215.5,211,206.5,282,282,282,282
4/13/2016,276.5,271.75,267,262.25,257.5,252.75,248,281.5,243.5,238.75,234,229.25,224.5,220,215.25,210.5,206,278.5,278.5,278,281.5
4/12/2016,258.5,253.75,249,244.25,239.5,235,230.25,263,225.75,221,216.5,212,207.25,202.75,198.25,193.75,189.25,263,263,263,263
4/11/2016,240,235.5,230.75,226.25,221.5,217,212.5,244.5,208,203.5,199,194.5,190,185.5,181.25,176.75,172.5,244.5,244.5,244.5,244.5
4/8/2016,245.75,241,236.5,231.75,227.25,222.5,218,250.5,213.5,209,204.5,200,195.5,191,186.5,182,177.75,250.5,250.5,250.5,250.5
4/7/2016,241.75,237,232.5,228,223.25,218.75,214.25,246.25,209.75,205.25,200.75,196.25,192,187.5,183,178.75,174.5,246.25,246.25,246.25,246.25
4/6/2016,263,258.25,253.5,249,244.25,239.5,235,267.75,230.25,225.5,221,216.25,211.75,207,202.5,198,193.5,267.75,267.75,267.75,267.75
4/5/2016,244.5,239.75,235.25,230.75,226,221.5,217,249,212.5,208,203.5,199,194.5,190.25,185.75,181.5,177,249,249,249,249
4/4/2016,260.5,256,251.25,246.5,242,237.25,232.5,265.25,228,223.5,219,214.25,209.75,205,200.5,196,191.5,265.25,265.25,265.25,265.25
4/1/2016,267.5,262.75,258,253.5,248.75,244,239.25,272.25,234.5,230,225.5,221,216.25,211.75,207,202.5,198,272.25,272.25,272.25,272.25
3/31/2016,255.75,251,246.5,241.75,237,232.5,227.75,260.5,223,218.5,214,209.5,205,200.5,196,191.75,187.25,260.5,260.5,260.5,260.5
3/30/2016,259,254.5,249.75,245,240.25,235.75,231,263.75,226.5,222,217.25,212.75,208.25,203.5,199,194.5,190,263.75,263.75,263.75,263.75
3/29/2016,252.5,248,243.25,238.5,234,229.25,224.75,257.25,220,215.5,211,206.5,202,197.5,193,188.5,184.25,257.25,257.25,257.25,257.25
3/28/2016,236.25,231.5,227,222.5,218,213.5,209,240.75,204.5,200,195.75,191.5,187,182.5,178.25,174,169.75,240.75,240.75,240.75,240.75
3/24/2016,238,233.25,228.75,224.25,219.75,215.25,210.75,242.5,206.25,201.75,197.5,193,188.75,184.5,180,175.75,171.5,242.5,242.5,242.5,242.5
3/23/2016,238.25,233.75,229.25,224.75,220.25,215.75,211.25,242.75,207,202.5,198,193.75,189.25,185,180.75,176.5,172,242.75,242.75,242.75,242.75
3/22/2016,250.5,245.75,241.25,236.5,232,227.5,223,255,218.5,214,209.5,205,200.5,196,191.5,187.25,183,255,255,255,255
3/21/2016,250.5,246,241.25,236.75,232,227.5,223,255,218.5,214,209.5,205,200.5,196.25,191.75,187.5,183,255,255,255,255
3/18/2016,246.5,242,237.5,233,228.5,224,219.5,251,215,210.5,206,201.5,197.25,192.75,188.5,184.25,180,251,251,251,251
3/17/2016,240.25,235.75,231.25,226.75,222.25,217.75,213.5,244.75,209,204.5,200.25,195.75,191.5,187,182.75,178.5,174.25,244.75,244.75,244.75,244.75
3/16/2016,229.75,225.25,221,216.5,212,207.75,203.25,234.25,199,194.5,190.25,186,181.5,177.25,173,169,164.75,234.25,234.25,234.25,234.25
3/15/2016,222,217.75,213.25,209,204.5,200.25,196,226.5,191.75,187.5,183,179,174.75,170.5,166.5,162.5,158.25,219,219,217.25,226.5
3/14/2016,225,220.5,216,211.75,207.5,203,199,229.25,194.5,190.25,186,182,177.75,173.5,169.25,165.25,161,229.25,229.25,229.25,229.25
3/11/2016,227.25,223,218.5,214.25,210,205.75,201.5,231.75,197.25,193,188.75,184.5,180.5,176.25,172,167.75,163.75,231.75,231.75,231.75,231.75
3/10/2016,202.5,198.5,194.25,190,185.75,181.5,177.5,206.75,173.5,169.25,165.25,161.25,157.25,153.25,149.25,145.5,141.5,210,210,210,206.75
3/9/2016,203.25,199,195,190.75,186.5,182.5,178.5,207.5,174.25,170.25,166.25,162.25,158.25,154.25,150.25,146.5,142.5,207.5,207.5,207.5,207.5
3/8/2016,197,193,188.75,184.75,180.5,176.5,172.5,201.25,168.5,164.5,160.5,156.5,152.5,148.5,144.75,140.75,137,201.25,201.25,201.25,201.25
3/7/2016,210.75,206.5,202.25,198,193.75,189.5,185.5,215.25,181.25,177,173,169,164.75,160.75,156.75,152.75,148.75,215.25,215.25,215.25,215.25
3/4/2016,207.75,203.5,199,195,190.75,186.5,182.5,212,178.25,174.25,170,166,162,158,154,150,146,212,212,212,212
3/3/2016,203.5,199.25,195,191,186.75,182.75,178.75,207.75,174.5,170.5,166.5,162.5,158.5,154.5,150.5,146.5,142.5,207.75,207.75,207.75,207.75
3/2/2016,198.5,194.25,190,186,182,177.75,173.75,202.5,169.5,165.5,161.5,157.5,153.75,149.75,146,142,138.25,202.5,202.5,202.5,202.5
3/1/2016,195.25,191.25,187,183,179,175,171,199.5,167,163,159,155,151,147.25,143.25,139.5,135.75,199.5,199.5,199.5,199.5
2/29/2016,161.25,157.5,153.75,150,146,142.5,138.75,165.25,135,131.5,128,124.25,120.75,117.25,113.75,110.5,107,171,171,171,165.25
2/26/2016,171.5,167.75,163.75,160,156,152.25,148.5,175.5,144.5,141,137.25,133.5,130,126.5,122.75,119.25,115.75,190.25,190.25,179.75,175.5
2/25/2016,176.75,172.75,168.75,165,161,157,153.25,180.75,149.5,145.5,141.75,138,134.5,130.75,127.25,123.5,120,180.75,180.75,180.75,180.75
2/24/2016,164.25,160.5,156.5,152.75,149,145.25,141.5,168,138,134.5,130.75,127.25,123.75,120.25,116.75,113.5,110,168,168,168,168
2/23/2016,154.25,150.5,147,143.25,139.75,136,132.5,158,129,125.5,122,118.5,115,111.5,108.25,105,101.75,158,158,158,158
2/22/2016,167.75,163.75,160,156,152.25,148.5,144.75,171.5,141,137.5,133.75,130.25,126.5,123,119.5,116,112.5,171.5,171.5,171.5,171.5
2/19/2016,154.75,151,147.5,143.75,140.25,136.5,133,158.5,129.5,126,122.5,119,115.75,112.25,109,105.75,102.5,158.5,158.5,158.5,158.5
2/18/2016,158.75,155,151.25,147.5,144,140.5,137,162.5,133.5,130,126.5,123,119.5,116.25,113,109.5,106.5,175.25,175.25,165,162.5
2/17/2016,164.75,161,157.5,153.75,150,146.5,143,168.5,139.5,136,132.5,129,125.5,122,118.75,115.5,112,159.25,166,159.25,168.5
2/16/2016,143.5,140,136.5,133.25,129.75,126.5,123,147,119.75,116.5,113.25,110.25,107,104,100.75,97.75,94.75,147,147,147,147
2/12/2016,127.25,124,120.75,117.5,114.5,111.25,108,130.5,105,102,99,96,93,90.25,87.5,84.5,81.75,130.5,130.5,130.5,130.5
2/11/2016,108.5,105.5,102.5,99.75,96.75,94,91,111.5,88.25,85.5,83,80.25,77.5,75,72.5,70,67.5,104.5,109,104.5,111.5
2/10/2016,120,116.75,113.75,110.5,107.5,104.5,101.5,123.25,98.5,95.5,92.75,89.75,87,84.25,81.5,78.75,76,123.25,123.25,123.25,123.25
2/9/2016,121.25,118,115,112,108.75,105.75,102.75,124.5,99.75,96.75,94,91,88.25,85.5,82.75,80,77.25,117.75,117.75,117.75,124.5
2/8/2016,123,120,116.75,113.5,110.5,107.5,104.5,126.5,101.5,98.5,95.5,92.5,89.75,87,84,81.5,78.75,126.5,126.5,126.5,126.5
2/5/2016,135.5,132.25,128.75,125.5,122,119,115.75,139,112.5,109.5,106.25,103.25,100.25,97.25,94.25,91.25,88.5,140,140,140,139
2/4/2016,156.5,152.75,149.25,145.5,142.25,138.75,135.25,160,131.75,128.25,125,121.5,118.25,115,111.75,108.5,105.5,160,160,160,160
2/3/2016,156,152.25,148.75,145,141.5,138,134.5,159.75,131,127.75,124.25,121,117.5,114.25,111,107.75,104.75,159.75,159.75,159.75,159.75
2/2/2016,148.75,145,141.75,138.25,134.75,131.25,127.75,152.25,124.5,121,117.75,114.5,111,108,104.75,101.5,98.5,152.25,152.25,152.25,152.25
2/1/2016,170.75,167,163.25,159.5,155.75,152,148.25,174.5,144.75,141,137.5,134,130.5,127,123.5,120.25,116.75,174.5,174.5,174.5,174.5
1/29/2016,170.5,166.75,163,159.25,155.5,152,148.25,174.25,144.5,141,137.5,134,130.5,127,123.5,120.25,116.75,174.25,174.25,174.25,174.25
1/28/2016,138,134.5,131,127.75,124.5,121,117.75,141.5,114.5,111.25,108.25,105,102,98.75,95.75,92.75,89.75,141.5,141.5,141.5,141.5
1/27/2016,136.25,133,129.5,126,122.75,119.5,116.25,139.75,113,109.75,106.75,103.5,100.5,97.5,94.5,91.5,88.75,160,160,160,139.75
1/26/2016,149.75,146.25,142.75,139.25,136,132.5,129,153.25,125.75,122.5,119,115.75,112.5,109.5,106.25,103.25,100,149.5,149.5,149.5,153.25
1/25/2016,134.75,131.5,128,124.75,121.5,118.25,115,138.25,111.75,108.75,105.5,102.5,99.5,96.5,93.5,90.5,87.5,138.25,138.25,138.25,138.25
1/22/2016,153.25,149.75,146,142.5,139.25,135.75,132.25,157,129,125.5,122,118.75,115.5,112.25,109.25,106,103,155,155,155,157
1/21/2016,133.5,130,126.75,123.5,120.25,117,114,136.75,111,107.75,104.75,101.75,98.75,95.75,93,90,87.25,148,148,146.25,136.75
1/20/2016,129.5,126,123,119.75,116.5,113.5,110.25,132.75,107.25,104.25,101.25,98.25,95.25,92.5,89.5,86.75,84,131.75,132,107.75,132.75
1/19/2016,140.5,137,133.5,130.25,127,123.5,120.25,144,117,114,110.75,107.75,104.5,101.5,98.5,95.5,92.75,154,160,154,144
1/15/2016,144.25,141,137.5,134,130.75,127.5,124.25,147.75,121,117.75,114.75,111.5,108.5,105.5,102.5,99.5,96.5,155.25,155.25,147.25,147.75
1/14/2016,168,164.5,161,157.25,153.75,150.25,146.75,171.75,143.25,139.75,136.5,133,129.5,126.25,123,119.5,116.5,152,152,152,171.75
1/13/2016,147.5,144,140.75,137.25,134,130.5,127.25,151,124,120.75,117.5,114.5,111.5,108.25,105.25,102.25,99.25,150.25,150.25,150.25,151
1/12/2016,174,170.5,166.75,163,159.5,156,152.25,177.75,148.75,145.25,141.75,138.5,135,131.75,128.25,125,121.75,177.75,177.75,177.75,177.75
1/11/2016,169.25,165.5,162,158.5,154.75,151.25,147.75,173,144.25,140.75,137.5,134,130.75,127.25,124,120.75,117.5,185,185,185,173
1/8/2016,172.25,168.75,165,161.5,158,154.5,151,175.75,147.5,144,140.75,137.5,134.25,131,127.75,124.5,121.5,175.75,175.75,175.75,175.75
1/7/2016,185.5,181.75,178,174.25,170.75,167.25,163.5,189,160,156.5,153,149.5,146,142.5,139.25,136,132.5,189,189,189,189
1/6/2016,221.5,217.5,213.5,209.75,205.75,202,198,225.5,194,190.25,186.5,182.75,179,175.25,171.5,168,164.25,225.5,225.5,225.5,225.5
1/5/2016,241.5,237.25,233.25,229,225,221,217,245.5,213.25,209.25,205.25,201.25,197.5,193.5,189.5,185.75,182,245.5,245.5,245.5,245.5
1/4/2016,241.5,237.5,233.5,229.5,225.5,221.5,217.5,245.75,213.5,209.5,205.75,201.75,198,194,190,186.5,182.5,245.75,245.75,245.75,245.75
12/31/2015,262,257.75,253.5,249.5,245.25,241,237,266.25,233,229,224.75,220.75,216.5,212.5,208.5,204.75,200.75,266.25,266.25,266.25,266.25
12/30/2015,277.25,273,268.75,264.75,260.5,256.25,252,281.5,248,243.75,239.5,235.5,231.5,227.25,223.25,219,215,281.5,281.5,281.5,281.5
12/29/2015,292,287.75,283.5,279.25,275,270.5,266.5,296.5,262.25,258,253.75,249.5,245.5,241.25,237,233,229,296.5,296.5,296.5,296.5
12/28/2015,272.5,268.5,264.25,260,255.75,251.5,247.5,276.75,243.25,239.25,235,231,227,222.75,218.75,214.75,210.75,276.75,276.75,276.75,276.75
12/24/2015,275.25,271,267,262.75,258.5,254.25,250,279.5,246,242,237.75,233.75,229.75,225.5,221.5,217.5,213.5,279.5,279.5,279.5,279.5
12/23/2015,277,272.5,268.5,264.25,260,256,251.75,281.25,247.5,243.5,239.25,235.25,231.25,227,223,219,215,281.25,281.25,281.25,281.25
12/22/2015,263.25,259,254.75,250.5,246.5,242.5,238.25,267.25,234.25,230.25,226.25,222.25,218.25,214.25,210.25,206.5,202.5,267.25,267.25,267.25,267.25
12/21/2015,249,245,240.75,236.75,232.75,228.75,224.75,253,220.75,216.75,213,209,205.25,201.5,197.5,193.75,190,253,253,253,253
12/18/2015,,229.5,,221.75,217.75,214,210,237.5,206.25,202.5,198.75,195,191,187.5,183.75,180,176.5,237.5,237.5,237.5,237.5
12/17/2015,,254,,246,242,238,,262.25,229.75,,221.75,,214,,206.25,202.25,198.5,262.25,262.25,262.25,262.25
12/16/2015,,284,,275.5,271.25,267,,292.5,258.75,,250.5,,242.25,,234,230,226,292.5,292.5,292.5,292.5
12/15/2015,,265.25,,257,253,249,,273.5,241,,233,,225,,217.25,213.5,209.5,272.25,272.25,272.25,273.5
12/14/2015,,245.5,,237.5,233.5,229.75,,253.5,222,,214,,206.5,,199,195,191.25,253.5,253.5,253.5,253.5
12/11/2015,,242.75,,235,231,227,,250.75,219.25,,211.5,,204,,196.5,193,189.25,250.75,250.75,250.75,250.75
12/10/2015,,269.25,,261,257,252.75,,277.5,244.75,,236.5,,228.75,,220.75,217,213,277.5,277.5,277.5,277.5
12/9/2015,,263.5,,255.5,251.25,247.25,,271.75,239.25,,231.25,,223.5,,215.5,211.5,207.75,271.75,271.75,271.75,271.75
12/8/2015,,276.25,,268,263.75,259.75,,284.75,251.5,,243.25,,235.25,,227.25,223.25,219.25,284.75,284.75,284.75,284.75
12/7/2015,,293.5,,285,280.75,276.5,,302,268,,259.75,,251.5,,243.25,239.25,235,293.5,293.75,291.5,302
12/4/2015,,299.5,,291,286.75,282.5,,308.25,274,,265.75,,257.5,,249,245,241,308.25,308.25,308.25,308.25
12/3/2015,,271.75,,263.5,259.5,255.25,,280,247,,239,,231,,223,219,215.25,280,280,280,280
12/2/2015,,295.5,,287,282.75,278.5,,304,270.25,,262,,253.5,,245.5,241.25,237.25,304,304,304,304
12/1/2015,,310.25,,301.5,297.25,293,,319,284.5,,276,,267.5,,259.25,255,251,319,319,319,319
11/30/2015,,295.25,,286.75,282.5,278.25,,303.5,270,,261.75,,253.5,,245.25,241,237,303.5,303.5,303.5,303.5
11/27/2015,,303.5,,295.25,291,286.75,,312,278.25,,270,,261.5,,253.25,249.25,245,312,312,312,312
11/25/2015,,302.25,,294,289.75,285.5,,311,277,,268.75,,260.5,,252.5,248.25,244.25,311,311,311,311
11/24/2015,,300.5,,292,287.75,283.5,,309,275.25,,267,,258.75,,250.5,246.5,242.5,309,309,309,309
11/23/2015,,299.5,,291,287,282.75,,308,274.25,,266,,257.75,,249.5,245.5,241.5,308,308,308,308
11/20/2015,,304.5,,296,291.75,287.5,,313,279.25,,271,,262.75,,254.5,250.5,246.5,313,313,313,313
11/19/2015,,298,,289.5,285.5,281.25,,306.5,273,,265,,256.75,,248.5,244.5,240.5,306.5,306.5,306.5,306.5
11/18/2015,,296.5,,288,283.75,279.5,,305,271.5,,263.25,,255,,247,243,239,305,305,305,305
11/17/2015,,273,,265,260.75,256.75,,281.25,248.75,,240.75,,232.75,,225,221,217.25,281.25,281.25,281.25,281.25
11/16/2015,,271.5,,263.5,259.25,255.25,,279.75,247.25,,239.25,,231.5,,223.75,219.75,216,279.75,279.75,279.75,279.75
11/13/2015,,251.75,,244,240,236.25,,259.75,228.5,,220.75,,213.25,,205.75,202,198.25,259.75,259.75,259.75,259.75
11/12/2015,,267,,258.75,254.75,250.75,,275,242.75,,235,,227.25,,219.5,215.5,211.75,275,275,275,275
11/11/2015,,287.5,,279.25,275,271,,296,262.75,,254.5,,246.5,,238.5,234.5,230.5,302,303,302,296
11/10/2015,,294.5,,286,281.75,277.5,,302.75,269.25,,261,,253,,244.75,240.75,236.75,302,303,302,302.75
11/9/2015,,291.75,,283.5,279.25,275,,300,266.75,,258.75,,250.5,,242.5,238.5,234.5,302.25,302.25,302.25,300
11/6/2015,,307.75,,299.5,295,291,,316.5,282.5,,274,,265.75,,257.5,253.5,249.25,316.5,316.5,316.5,316.5
11/5/2015,,309.5,,301,296.75,292.5,,318,284,,275.75,,267.5,,259.25,255,251,317.75,317.75,317.75,318
11/4/2015,,310.5,,302,297.75,293.5,,319,285,,276.75,,268.5,,260.25,256.25,252,317.75,317.75,317.75,319
11/3/2015,,316,,307.5,303,299,,324.5,290.5,,282,,273.5,,265.5,261.25,257,315.5,315.5,315.5,324.5
11/2/2015,,308.5,,300,295.75,291.5,,317,283,,274.75,,266.5,,258.25,254,250,311,311,309,317
10/30/2015,,292.75,,284.25,280,276,,301,267.75,,259.5,,251.5,,243.5,239.5,235.5,301,301,301,301
10/29/2015,,300.25,,291.75,287.5,283.5,,308.75,275.25,,267,,258.75,,250.5,246.5,242.5,308.75,308.75,308.75,308.75
10/28/2015,,301,,292.75,288.5,284.5,,309.5,276,,267.75,,259.5,,251.5,247.5,243.25,309.5,309.5,309.5,309.5
10/27/2015,,282,,274,269.75,265.75,,290.25,257.5,,249.5,,241.5,,233.5,229.5,225.75,290.25,290.25,290.25,290.25
10/26/2015,,284,,275.75,271.75,267.5,,292.25,259.5,,251.5,,243.5,,235.75,231.75,227.75,292.25,292.25,292.25,292.25
10/23/2015,,285.5,,277.25,273.25,269,,293.75,261,,253,,245,,237,233,229,278.5,278.5,278.5,293.75
10/22/2015,,274,,266,261.75,257.75,,282.5,249.75,,241.75,,233.75,,226,222,218,278.5,278.5,278.5,282.5
10/21/2015,,242.25,,234.5,230.5,226.5,,250.25,219,,211.5,,203.75,,196.5,192.75,189,258.5,258.5,258.5,250.25
10/20/2015,,250,,242,238,234.25,,257.75,226.5,,218.75,,211,,203.5,199.75,196,258.5,258.5,258.5,257.75
10/19/2015,,253.75,,246,242,238,,261.75,230.25,,222.5,,214.75,,207,203.25,199.5,261.75,261.75,261.75,261.75
10/16/2015,,255.25,,247.5,243.5,239.5,,263.25,231.75,,224,,216.5,,209,205,201.5,263.25,263.25,263.25,263.25
10/15/2015,,251,,243.25,239.25,235.5,,259,227.5,,220,,212.5,,205,201.25,197.5,259,259,259,259
10/14/2015,,227.75,,220.25,216.5,212.75,,235.25,205.5,,198.25,,191,,184,180.5,177,235.25,235.25,235.25,235.25
10/13/2015,,234.25,,226.75,223,219,,242,211.75,,204.5,,197,,190,186.25,182.75,242,242,242,242
10/12/2015,,245,,237.25,233.25,229.5,,252.75,221.75,,214,,206.75,,199.25,195.5,192,252.75,252.75,252.75,252.75
10/9/2015,,245.25,,237.5,233.75,230,,253,222.25,,214.75,,207.5,,200,196.5,192.75,253,253,253,253
10/8/2015,,244.5,,237,233,229.25,,252.25,221.5,,214,,206.75,,199.5,195.75,192,252.25,252.25,252.25,252.25
10/7/2015,,231.75,,224.25,220.5,217,,239.5,209.5,,202.25,,195,,188,184.5,181,239.5,239.5,239.5,239.5
10/6/2015,,219.25,,212,208.25,204.75,,226.75,197.5,,190.5,,183.5,,176.5,173.25,169.75,226.75,226.75,226.75,226.75
10/5/2015,,223.75,,216.5,212.75,209,,231.25,201.75,,194.75,,187.75,,180.75,177.25,174,231.25,231.25,231.25,231.25
10/2/2015,,204.25,,197.25,193.75,190.25,,211.5,183.5,,176.5,,170,,163.25,160,156.75,211.5,211.5,211.5,211.5
10/1/2015,,188,,181.25,178,174.5,,195,168,,161.5,,155.25,,149,145.75,142.75,195,195,195,195
9/30/2015,,183.75,,177,173.75,170.5,,190.75,164,,157.5,,151.25,,145,142,139,190.75,190.75,190.75,190.75
9/29/2015,,163.5,,157,154,151,,169.75,144.75,,138.75,,133,,127,124.25,121.5,169.75,169.75,169.75,169.75
9/28/2015,,163,,156.75,153.5,150.5,,169.25,144.5,,138.75,,133,,127.25,124.5,121.5,169.25,169.25,169.25,169.25
9/25/2015,,191,,184.25,181,177.5,,198,171,,164.5,,158,,151.5,148.5,145.25,198,198,198,198
9/24/2015,,190,,183.5,180,176.5,,197,170,,163.5,,157,,150.75,147.5,144.5,197,197,197,197
9/23/2015,,195.25,,188.25,185,181.5,,202.25,174.75,,168,,161.5,,155,152,148.75,202.25,202.25,202.25,202.25
9/22/2015,,200,,193,189.5,186,,207,179.5,,172.75,,166,,159.75,156.5,153.25,207,207,207,207
9/21/2015,,219,,211.75,208,204.5,,226.5,197.5,,190.5,,183.5,,176.5,173.25,169.75,226.5,226.5,226.5,226.5
9/18/2015,,215,,207.75,204.25,200.75,,222,193.75,,187,,180.25,,173.5,170,166.75,222,222,222,222
9/17/2015,,233.5,,226,222.5,218.75,,241,211.5,,204.5,,197.25,,190.5,187,183.5,241,241,241,241
9/16/2015,,240.5,,233.25,229.5,225.75,,248,218.5,,211.25,,204,,197,193.5,190,248,247.5,235,248
9/15/2015,,231.75,,224.5,221,217.25,,239,210,,203,,196,,189.25,185.75,182.5,239,239.75,220.5,239
9/14/2015,,218.5,,211.5,208,204.75,,225.5,197.75,,191,,184.5,,178,174.5,171.25,225.5,235.75,221.5,225.5
9/11/2015,,222.25,,215,211.75,208.25,,229.25,201.25,,194.5,,188,,181.25,178,174.5,229.25,228.5,216.25,229.25
9/10/2015,,216.5,,209.5,206,202.75,,223.5,195.75,,189.25,,182.5,,176,172.5,169.5,223.5,232.5,215.75,223.5
9/9/2015,,213.5,,206.5,203,199.5,,220.5,193,,186.25,,179.75,,173.25,170,166.75,220.5,251.5,217.25,220.5
9/8/2015,,229.75,,222.5,219,215.5,,237,208.5,,201.75,,195,,188.25,185,181.5,237,237.5,209,237
9/4/2015,,203.75,,197,193.5,190.25,,210.5,183.75,,177.25,,170.75,,164.5,161.25,158.25,210.5,224.75,204,210.5
9/3/2015,,217.25,,210.5,207,203.5,,224.5,196.75,,190,,183.25,,176.75,173.5,170.5,224.5,238.75,223.25,224.5
9/2/2015,,217.25,,210.25,206.75,203.5,,224.25,196.5,,190,,183.25,,176.5,173.25,170.25,224.25,224,204.75,224.25
9/1/2015,,201.25,,194.5,191.25,188,,208,181.5,,175,,168.5,,162.25,159.25,156.25,208,224.25,201.5,208
8/31/2015,,232.25,,225,221.5,218,,239.5,211,,204,,197,,190,186.75,183.5,239.5,247.25,233.75,239.5
8/28/2015,,243.5,,236.25,232.5,229,,251,221.75,,214.5,,207.5,,200.5,197,193.5,251,250.25,235,251
8/27/2015,,240,,232.5,229,225.25,,247.5,218,,210.75,,203.5,,196.5,193,189.75,247.5,247.5,210.25,247.5
8/26/2015,,204.25,,197.25,193.75,190.25,,211.25,183.5,,176.75,,170,,163.5,160.25,157,211.25,212.25,161.75,211.25
8/25/2015,,166.25,,159.75,156.5,153.5,,172.5,147.5,,141.5,,135.5,,129.5,126.75,124,172.5,211.5,169.25,172.5
