Date,ESM6C 1890 Index,ESM6C 1895 Index,ESM6C 1900 Index,ESM6C 1905 Index,ESM6C 1910 Index,ESM6C 1915 Index,ESM6C 1920 Index,ESM6C 1925 Index,ESM6C 1930 Index,ESM6C 1935 Index,ESM6C 1940 Index,ESM6C 1945 Index,ESM6C 1950 Index,ESM6C 1955 Index,ESM6C 1960 Index,ESM6C 1965 Index,ESM6C 1970 Index,ESM6C 1975 Index,Open,High,Low,Close
5/23/2016,158,153.25,148.5,143.75,139,134.25,129.5,124.75,120.25,115.5,111,106.5,102,97.5,93,88.5,84.25,80,162.75,162.75,162.75,162.75
5/20/2016,163,158.25,153.5,148.75,144,139.25,134.5,130,125.25,120.75,116,111.75,107.25,102.75,98.25,93.75,89.5,85,168,168,168,168
5/19/2016,153.75,149,144.25,139.75,135,130.5,126,121.25,116.75,112.25,108,103.5,99.25,95,90.5,86.5,82.25,78.25,158.5,158.5,158.5,158.5
5/18/2016,156.5,151.75,147,142.5,137.75,133.25,128.5,124,119.5,115,110.75,106.25,102,97.75,93.5,89.25,85.25,81,161.25,161.25,161.25,161.25
5/17/2016,158.5,153.75,149,144.25,139.5,135,130.5,126,121.5,117,112.5,108.25,103.75,99.5,95.25,91,86.75,82.5,163.25,163.25,163.25,163.25
5/16/2016,176.25,171.5,166.75,162,157.25,152.5,148,143.25,138.5,134,129.25,124.75,120.25,115.75,111.25,107,102.5,98,181,181,181,181
5/13/2016,159,154.5,149.75,145.25,140.5,136,131.5,127,122.5,118,113.5,109.25,105,100.75,96.5,92.25,88.25,84,163.75,163.75,163.75,163.75
5/12/2016,173.25,168.5,163.75,159,154.25,149.75,145,140.5,136,131.5,127,122.5,118,113.5,109,104.75,100.5,96.25,178,178,178,178
5/11/2016,173,168.25,163.5,158.75,154.25,149.5,145,140.5,135.75,131.25,126.75,122.25,118,113.5,109,104.75,100.5,96.5,177.75,177.75,177.75,177.75
5/10/2016,191.25,186.5,181.75,177,172.25,167.5,162.5,158,153.25,148.5,144,139.25,134.75,130,125.5,121,116.5,112.25,196,196,196,196
5/9/2016,170,165.25,160.5,156,151.25,146.75,142,137.5,133,128.5,124.25,119.75,115.5,111,106.5,102.25,98,94,174.75,174.75,174.75,174.75
5/6/2016,169.25,164.75,160,155.5,151,146.25,141.75,137.25,132.75,128.25,124,119.5,115.25,111,106.5,102.5,98.25,94,174,174,174,174
5/5/2016,162.75,158,153.5,149,144.5,140,135.5,131.25,126.75,122.5,118.25,114,109.75,105.5,101.5,97.25,93.25,89.5,167.25,167.25,167.25,167.25
5/4/2016,165.75,161.25,156.75,152.25,147.75,143.25,139,134.5,130,125.75,121.5,117,112.75,108.5,104.5,100.25,96.25,92.25,170.5,170.5,170.5,170.5
5/3/2016,175,170.5,166,161.25,156.75,152.25,147.75,143.25,138.75,134.25,130,125.5,121.25,117,112.75,108.5,104.25,100.25,179.75,179.75,179.75,179.75
5/2/2016,191,186.5,181.75,177,172.25,167.75,163,158.5,154,149.25,144.75,140.25,135.75,131.5,127,122.5,118.25,114,195.75,195.75,195.75,195.75
4/29/2016,178.5,174,169.5,164.75,160.25,155.75,151.25,147,142.5,138,133.75,129.5,125.25,121,116.75,112.5,108.25,104,183.25,183.25,183.25,183.25
4/28/2016,190.5,186,181.25,176.75,172,167.5,163,158.5,154,149.5,145,140.5,136,131.75,127.25,123,118.75,114.5,195.25,195.25,195.25,195.25
4/27/2016,206.5,201.75,197,192.5,187.75,183,178.25,173.5,169,164.5,159.75,155.25,150.75,146.25,141.75,137.25,132.75,128.5,211.25,211.25,211.25,211.25
4/26/2016,204.75,200,195.5,190.75,186,181.5,177,172.25,167.75,163,158.5,154,149.5,145,140.5,136,131.5,127,209.5,209.5,209.5,209.5
4/25/2016,200.5,195.75,191,186.5,181.75,177.25,172.5,168,163.5,159,154.5,150,145.5,141,136.5,132,127.75,123.5,205.25,205.25,205.25,205.25
4/22/2016,203,198.25,193.5,189,184.25,179.75,175.25,170.5,166,161.5,157,152.5,148,143.5,139,134.5,130,125.75,207.75,207.75,207.75,207.75
4/21/2016,201,196.25,191.75,187,182.5,178,173.5,168.75,164.25,159.75,155.25,150.75,146.25,141.75,137.5,133,128.75,124.5,205.5,205.5,205.5,205.5
4/20/2016,214.75,210,205.25,200.5,196,191.25,186.5,182,177.5,173,168.25,163.75,159.25,154.75,150.25,145.75,141.25,136.75,219.5,219.5,219.5,219.5
4/19/2016,210.75,206,201.5,196.75,192,187.5,183,178.25,173.75,169.25,164.5,160,155.5,151,146.5,142,137.75,133.25,215.5,215.5,215.5,215.5
4/18/2016,204.5,200,195.25,190.5,186,181.5,176.75,172.25,167.75,163,158.5,154,149.5,145,140.75,136.25,132,127.75,209.25,209.25,209.25,209.25
4/15/2016,195.25,190.5,186,181.5,176.75,172.25,167.75,163.5,159,154.5,150.25,145.75,141.5,137,132.75,128.5,124,120,199.75,199.75,199.75,199.75
4/14/2016,197.25,192.5,188,183.5,179,174.5,170,165.5,161,156.5,152.25,147.75,143.5,139.25,135,130.5,126.5,122.25,201.75,201.75,201.75,201.75
