Date,ESM6C 1890 Index,ESM6C 1895 Index,ESM6C 1900 Index,ESM6C 1905 Index,ESM6C 1910 Index,ESM6C 1915 Index,ESM6C 1920 Index,ESM6C 1925 Index,ESM6C 1930 Index,ESM6C 1935 Index,ESM6C 1940 Index,ESM6C 1945 Index,ESM6C 1950 Index,ESM6C 1955 Index,ESM6C 1960 Index,ESM6C 1965 Index,ESM6C 1970 Index,ESM6C 1975 Index,Open,High,Low,Close
4/13/2016,196.75,192.25,187.5,183,178.5,174,169.5,165,160.75,156.5,152,147.5,143.25,139,134.75,130.5,126.5,122.25,201.5,201.5,201.5,201.5
4/12/2016,180.25,175.75,171.5,167,162.5,158.5,154,149.75,145.5,141.25,137,133,128.75,124.5,120.5,116.5,112.5,108.5,184.75,184.75,184.75,184.75
4/11/2016,163.75,159.5,155.25,151,146.75,142.5,138.25,134.25,130,126,122,118,114,110,106,102.25,98.5,94.5,168,168,168,168
4/8/2016,169,164.5,160.25,156,151.75,147.5,143.25,139,135,131,126.75,122.75,118.75,114.75,110.75,107,103,99,173.25,173.25,173.25,173.25
4/7/2016,165.75,161.5,157.25,153,148.75,144.5,140.5,136.25,132.25,128,124,120,116,112.25,108.25,104.5,100.75,97,170,170,170,170
4/6/2016,184.5,180,175.75,171.25,167,162.5,158.25,154,149.75,145.5,141.25,137,132.75,128.75,124.5,120.5,116.5,112.5,189,189,189,189
4/5/2016,168.25,164,159.75,155.5,151.25,147,143,138.75,134.5,130.5,126.25,122.25,118.25,114.25,110.5,106.5,102.75,99,172.5,172.5,172.5,172.5
4/4/2016,182.5,178,173.5,169.25,164.75,160.5,156.25,152,147.5,143.5,139.25,135,131,127,122.75,118.75,114.5,110.5,187,187,187,187
4/1/2016,189,184.5,180,175.5,171,166.75,162.25,158,153.75,149.5,145,141,136.75,132.5,128.25,124.25,120,116,193.5,193.5,193.5,193.5
3/31/2016,178.25,173.75,169.5,165,160.5,156.25,152,147.75,143.5,139.5,135.25,131,127,123,119,115,111,107,182.75,182.75,182.75,182.75
3/30/2016,181,176.75,172.25,168,163.5,159.25,155,150.75,146.5,142.25,138,134,129.75,125.5,121.5,117.5,113.5,109.5,185.5,185.5,185.5,185.5
3/29/2016,175.5,171,166.5,162.25,158,153.5,149.5,145.25,141,136.75,132.75,128.75,124.5,120.5,116.5,112.5,108.75,104.75,179.75,179.75,179.75,179.75
3/28/2016,161.25,157,153,148.75,144.5,140.5,136.5,132.5,128.25,124.25,120.25,116.25,112.5,108.5,104.75,101,97.25,93.5,165.5,165.5,165.5,165.5
3/24/2016,163,158.75,154.5,150.25,146.25,142,138,134,130,126,122.25,118.25,114.5,110.5,106.75,103,99.25,95.5,167.25,167.25,167.25,167.25
3/23/2016,163.5,159.5,155.25,151,147,142.75,138.75,134.75,130.75,126.75,123,119,115,111.25,107.5,103.5,100,96.25,167.75,167.75,167.75,167.75
3/22/2016,174.25,170,165.75,161.5,157.25,153,148.75,144.5,140.5,136.5,132.25,128.25,124.25,120.25,116.5,112.5,108.5,104.75,178.5,178.5,178.5,178.5
3/21/2016,174.5,170.25,166,161.5,157.5,153.25,149,144.75,140.75,136.5,132.5,128.75,124.75,120.75,116.75,113,109,105.25,178.75,178.75,178.75,178.75
3/18/2016,171.5,167.25,163,158.75,154.5,150.5,146.5,142.25,138.25,134.25,130.25,126.25,122.5,118.5,114.5,110.75,107,103.25,175.75,175.75,175.75,175.75
3/17/2016,165.75,161.5,157.5,153.5,149.25,145,141,137,133,129,125.25,121.25,117.5,113.5,109.75,106,102.25,98.5,170,170,170,170
3/16/2016,156.5,152.5,148.5,144.5,140.5,136.5,132.5,128.5,124.5,120.75,117,113.25,109.5,105.75,102,98.5,94.75,91.25,160.75,160.75,160.75,160.75
3/15/2016,150.25,146.25,142.25,138.25,134.25,130.5,126.5,123,119,115.25,111.5,107.75,104,100.5,97,93.5,90,86.5,154.25,154.25,154.25,154.25
3/14/2016,153,149,145,141,137,133,129.25,125.25,121.5,117.75,114,110.25,106.5,102.75,99.25,95.5,92,88.75,157,157,157,157
3/11/2016,155.5,151.5,147.5,143.5,139.75,135.75,132,128.25,124.5,120.5,116.75,113,109.5,105.75,102,98.5,95,91.5,159.5,159.5,159.5,159.5
3/10/2016,134,130,126.5,122.75,119,115.25,111.75,108,104.5,101,97.5,94,90.75,87.5,84.25,81,77.75,74.5,137.75,137.75,137.75,137.75
3/9/2016,135,131,127.25,123.5,120,116.25,112.75,109,105.5,102,98.75,95.25,92,88.75,85.5,82,79,75.75,138.75,138.75,138.75,138.75
3/8/2016,129.5,125.75,122,118.5,115,111.25,107.75,104.25,100.75,97.5,94,90.75,87.5,84.25,81,77.75,74.75,71.75,133.25,133.25,133.25,133.25
3/7/2016,141,137.25,133.5,129.5,126,122.25,118.5,114.75,111.25,107.5,104,100.5,97,93.5,90.25,87,83.75,80.5,145,145,145,145
3/4/2016,138.25,134.5,130.75,127,123.25,119.5,116,112.25,108.75,105,101.5,98,94.5,91.25,88,84.75,81.5,78.25,142.25,142.25,142.25,142.25
3/3/2016,135,131.25,127.5,123.75,120,116.25,112.75,109,105.5,102,98.5,95.25,91.75,88.5,85.25,82,79,75.75,138.75,138.75,138.75,138.75
3/2/2016,130.75,127,123.25,119.5,116,112.5,108.75,105.25,101.75,98.25,95,91.5,88.25,85,81.75,78.5,75.5,72.25,132.25,132.25,132.25,134.5
3/1/2016,128.25,124.5,121,117.25,113.75,110.25,106.75,103.25,99.75,96.5,93.25,90,86.5,83.5,80.25,77,74,71,132,132,132,132
2/29/2016,100.25,97,94,90.75,87.5,84.5,81.25,78.25,75.5,72.5,69.75,67,64,61.5,58.75,56.25,53.5,51,103.5,103.5,103.5,103.5
2/26/2016,109,105.5,102,99,95.5,92.5,89.25,86,83,80,77,74,71,68.25,65.5,62.5,60,57.25,112.25,112.25,112.25,112.25
2/25/2016,113,109.5,106,102.75,99.5,96.25,93,89.75,86.5,83.5,80.5,77.5,74.5,71.5,68.75,66,63,60.5,116.5,116.5,116.5,116.5
2/24/2016,103.25,100,97,93.75,90.5,87.5,84.5,81.5,78.5,75.5,72.5,69.75,67,64.25,61.5,59,56.5,54,106.5,106.5,106.5,106.5
2/23/2016,95.25,92,89,86,83,80,77,74,71.25,68.5,65.75,63,60.5,57.75,55.25,52.75,50.5,48,98.5,98.5,98.5,98.5
2/22/2016,106,102.5,99.5,96,93,89.75,86.5,83.5,80.5,77.5,74.5,71.5,68.75,66,63.5,60.75,58,55.5,111.5,111.5,111.5,109.25
2/19/2016,96.25,93,90,87,84,81,78,75.25,72.5,69.5,67,64.25,61.5,59,56.5,54,51.5,49.25,97.75,97.75,97.75,99.5
2/18/2016,100,97,93.75,90.75,87.75,84.75,81.75,79,76,73.25,70.5,67.75,65,62.5,59.75,57.25,54.75,52.25,103.25,103.25,103.25,103.25
2/17/2016,105.75,102.5,99.5,96.25,93.25,90.25,87.25,84.25,81.25,78.5,75.75,73,70,67.5,64.75,62.25,59.75,57.25,109,109,109,109
2/16/2016,88.75,86,83,80.25,77.5,74.75,72,69.5,67,64.25,61.75,59.5,57,54.5,52.25,50,48,45.75,91.75,91.75,91.75,91.75
2/12/2016,76.5,73.75,71.25,68.75,66.25,63.75,61.25,59,56.75,54.5,52.25,50,48,45.75,43.75,41.75,40,38,79,79,79,79
2/11/2016,62.5,60.25,58,55.75,53.5,51.25,49.25,47,45,43,41.25,39.25,37.5,35.75,34,32.25,30.75,29,65,65,65,65
2/10/2016,71,68.5,66,63.5,61,58.75,56.5,54.25,52,50,47.75,45.75,43.75,41.75,40,38,36.25,34.5,73.5,73.5,73.5,73.5
2/9/2016,72,69.5,67,64.5,62.25,59.75,57.5,55.25,53,50.75,48.5,46.5,44.5,42.5,40.5,38.5,36.75,35,74.75,74.75,74.75,74.75
2/8/2016,73.5,70.75,68.25,65.75,63.5,61,58.75,56.5,54,52,49.75,47.5,45.5,43.5,41.5,39.75,37.75,36,67,67,67,76
2/5/2016,82.75,80,77.25,74.5,72,69.5,66.75,64.25,61.75,59.5,57,54.75,52.5,50.25,48,46,43.75,41.75,85.5,85.5,85.5,85.5
2/4/2016,99,96,93,90,87,84.25,81.25,78.5,75.75,73,70.25,67.75,65,62.5,60,57.75,55.25,53,102.25,102.25,102.25,102.25
2/3/2016,98.5,95.25,92.25,89.25,86.25,83.5,80.5,77.75,75,72,69.5,66.75,64,61.5,59,56.75,54.25,52,101.5,101.5,101.5,101.5
2/2/2016,92.25,89.25,86.5,83.5,80.5,77.75,75,72.25,69.5,67,64.5,62,59.5,57,54.5,52.25,50,47.75,95.5,95.5,95.5,95.5
2/1/2016,110,106.75,103.75,100.5,97.25,94.25,91,88,85,82.25,79.25,76.5,73.75,71,68.25,65.5,63,60.25,107.75,107.75,107.75,113.5
1/29/2016,110.25,107,104,100.75,97.5,94.5,91.5,88.5,85.5,82.5,79.5,76.75,74,71,68.5,65.75,63.25,60.5,88.5,88.5,88.5,113.5
1/28/2016,84,81.25,78.5,75.5,73,70.25,67.5,65,62.5,60,57.75,55.25,53,50.75,48.5,46.5,44.5,42.5,87,87,87,87
1/27/2016,83,80.25,77.5,75,72.25,69.75,67.25,64.75,62.25,59.75,57.5,55,53,50.75,48.5,46.5,44.25,42.25,86,86,86,86
1/26/2016,94,91,88,85.25,82.5,79.5,77,74.25,71.5,69,66.5,64,61.5,59,56.75,54.5,52,50,97,97,97,97
1/25/2016,82,79.25,76.5,73.75,71.25,68.5,66,63.75,61.25,59,56.5,54.25,52,49.75,47.75,45.5,43.5,41.5,84.75,84.75,84.75,84.75
1/22/2016,96.75,93.75,90.75,88,85,82,79.25,76.5,74,71.25,68.5,66,63.5,61,58.5,56,53.75,51.5,99.75,99.75,99.75,99.75
1/21/2016,81.5,79,76.25,73.5,71,68.5,66,63.5,61.25,58.75,56.5,54.25,52,50,47.75,45.75,43.75,41.75,84.5,84.5,84.5,84.5
1/20/2016,78.5,76,73.25,70.75,68.25,65.75,63.25,61,58.5,56.25,54,51.75,49.75,47.5,45.5,43.5,41.75,39.75,81.25,81.25,81.25,81.25
1/19/2016,87,84.25,81.5,78.75,76,73.5,70.75,68.25,65.75,63.25,60.75,58.5,56,53.75,51.5,49.5,47.25,45.25,89.75,89.75,89.75,89.75
1/15/2016,90.5,87.75,85,82.25,79.5,76.75,74.25,71.5,69,66.5,64,61.5,59.25,57,54.5,52.5,50.25,48,93.5,93.5,93.5,93.5
1/14/2016,110,107,104,100.75,97.75,94.75,92,89,86.25,83.5,80.5,78,75.25,72.5,70,67.25,64.75,62.25,113.25,113.25,113.25,113.25
1/13/2016,93.25,90.5,87.5,84.75,82,79.5,76.75,74,71.5,69,66.5,64,61.75,59.25,57,54.75,52.5,50.25,96.25,96.25,96.25,96.25
1/12/2016,115.25,112,109,105.75,102.75,99.5,96.5,93.5,90.75,87.75,85,82,79.25,76.5,73.75,71,68.5,66,118.5,118.5,118.5,118.5
1/11/2016,111.25,108,105,101.75,98.75,95.75,92.75,90,87,84,81.25,78.5,75.75,73,70.5,68,65.5,63,117,117,117,114.25
1/8/2016,115.25,112.25,109.25,106.25,103.25,100.25,97.5,94.5,91.5,88.75,86,83.25,80.5,78,75.25,72.75,70.25,67.75,122.5,122.5,122.5,118.5
1/7/2016,126,122.75,119.5,116.25,113.25,110.25,107,104,101,98.25,95.25,92.5,89.5,86.75,84,81.25,78.5,76,129.25,129.25,129.25,129.25
1/6/2016,157,153.5,149.75,146.25,142.75,139.25,135.75,132.25,129,125.5,122.25,119,115.5,112.25,109,106,103,99.75,160.5,160.5,160.5,160.5
1/5/2016,174.5,170.75,167,163.25,159.5,156,152.5,148.75,145.25,141.75,138.25,134.75,131.25,128,124.5,121,117.75,114.5,178.25,178.25,178.25,178.25
1/4/2016,175,171.5,167.75,164,160.25,156.75,153.25,149.5,146,142.5,139,135.5,132.25,128.75,125.5,122,118.75,115.5,178.75,178.75,178.75,178.75
12/31/2015,193,189,185.25,181.25,177.5,173.75,170,166.25,162.5,158.75,155,151.5,148,144.5,140.75,137.25,133.75,130.25,197,197,197,197
12/30/2015,207,203,199,195,191,187.25,183.5,179.5,176,172,168.25,164.5,160.75,157,153.25,149.75,146,142.5,211,211,211,211
12/29/2015,220.75,216.5,212.5,208.5,204.5,200.5,196.5,192.5,188.75,184.75,181,177,173.25,169.5,165.5,161.75,158,154.25,224.75,224.75,224.75,224.75
12/28/2015,203,199,195,191,187.25,183.25,179.5,175.75,172,168.25,164.5,160.75,157,153.25,149.75,146,142.5,139,207,207,207,207
12/24/2015,205.5,201.75,197.75,194,190,186,182.25,178.5,174.75,171,167.25,163.5,160,156.25,152.75,149,145.5,142,209.5,209.5,209.5,209.5
12/23/2015,207,203,199.25,195.25,191.5,187.5,183.5,179.75,176,172.25,168.5,164.75,161,157.5,153.75,150.25,146.5,143,211,211,211,211
12/22/2015,194.75,190.75,187,183.25,179.5,175.75,172,168.25,164.5,161,157.25,153.75,150,146.5,143,139.5,136,132.75,198.5,198.5,198.5,198.5
12/21/2015,182.75,179,175.25,171.5,168,164.25,160.75,157.25,153.5,150,146.5,143,139.5,136,132.75,129.25,126,122.75,186.25,186.25,186.25,186.25
12/18/2015,169.25,165.5,162,158.5,155,151.5,148,144.75,141.25,138,134.5,131.25,128,124.75,121.5,118.25,115.25,112,172.75,172.75,172.75,172.75
12/17/2015,190.75,,183.5,,176,,168.5,165,161.5,,154.25,,147.25,,140.25,,133.5,130,,,,
12/16/2015,218,,210.25,,202.5,,194.5,190.75,187,,179.5,,172,,164.5,,157.25,153.5,,,,
12/15/2015,201.75,,194,,186.5,,179,175.5,171.75,,164.5,,157.25,,150.25,,143.25,139.75,,,,
12/14/2015,184,,176.5,,169.25,,162.25,158.5,155,,148,,141.25,,134.5,,128,124.75,,,,
12/11/2015,182,,174.75,,167.75,,160.5,157,153.5,,146.75,,140,,133.25,,126.75,123.5,,,,
12/10/2015,205.25,,197.75,,190,,182.5,178.75,175,,167.75,,160.5,,153.5,,146.5,143,,,,
12/9/2015,200,,192.5,,185,,177.5,174,170.25,,163,,156,,149,,142,138.75,,,,
12/8/2015,211.5,,203.75,,196,,188.5,184.75,181,,173.5,,166.25,,159,,151.75,148.25,,,,
12/7/2015,227,,219,,211,,203.25,199.25,195.5,,187.75,,180.25,,172.75,,165.25,161.5,,,,
12/4/2015,232.75,,224.75,,216.75,,208.75,205,201,,193.25,,185.5,,178,,170.5,166.75,,,,
12/3/2015,207.5,,199.75,,192,,184.5,180.75,177,,169.75,,162.5,,155.25,,148.25,144.75,,,,
12/2/2015,229.25,,221.25,,213.25,,205.5,201.5,197.75,,190,,182.5,,174.75,,167.5,163.75,,,,
12/1/2015,242.75,,234.5,,226.5,,218.75,214.75,210.75,,202.75,,195,,187.5,,179.75,176,,,,
11/30/2015,229.25,,221.25,,213.5,,205.75,201.75,198,,190.5,,183,,175.5,,168,164.5,,,,
11/27/2015,237,,229,,221.25,,213.25,209.5,205.5,,198,,190.25,,182.5,,175,171.5,,,,
11/25/2015,236,,228,,220,,212.25,208.25,204.5,,196.75,,189.25,,181.5,,174.25,170.5,,,,
11/24/2015,234.5,,226.5,,218.5,,210.75,207,203,,195.5,,187.75,,180.25,,173,169.25,,,,
11/23/2015,233.5,,225.5,,217.75,,210,206,202.25,,194.75,,187,,179.5,,172.25,168.5,,,,
11/20/2015,238.25,,230.5,,222.5,,214.5,210.5,206.75,,199,,191.5,,184,,176.5,173,,,,
11/19/2015,232.75,,225,,217,,209.5,205.75,202,,194.25,,186.75,,179.25,,172,168.25,,,,
11/18/2015,231,,223,,215.25,,207.5,203.75,200,,192.25,,184.75,,177.5,,170.25,166.5,,,,
11/17/2015,209.5,,202,,194.5,,187.25,183.5,179.75,,172.75,,165.5,,158.5,,151.5,148,,,,
11/16/2015,208.25,,200.75,,193.25,,186,182.25,178.5,,171.5,,164.25,,157,,150,146.75,,,,
11/13/2015,191,,183.75,,176.75,,169.5,166,162.5,,155.75,,149,,142.25,,135.75,132.5,,,,
11/12/2015,204,,196.75,,189.25,,182,178.25,174.75,,167.5,,160.5,,153.5,,146.75,143.25,,,,
11/11/2015,222.5,,214.75,,207,,199.5,195.75,192,,184.5,,177,,169.75,,162.5,159,,,,
11/10/2015,228.75,,220.75,,213,,205.25,201.25,197.5,,190,,182.5,,175.25,,168,164.5,,,,
11/9/2015,226.75,,219,,211,,203.5,199.5,196,,188.5,,181,,173.5,,166.5,162.75,,,,
11/6/2015,241.25,,233.25,,225.25,,217.5,213.5,209.5,,202,,194.25,,186.75,,179.25,175.5,,,,
11/5/2015,243,,235,,227,,219.25,215.25,211.5,,203.5,,196,,188.5,,180.75,177,,,,
11/4/2015,244,,236,,228.25,,220.25,216.5,212.5,,205,,197.25,,189.5,,182,178.5,,,,
11/3/2015,249,,240.75,,232.75,,224.75,220.75,216.75,,209,,201.25,,193.75,,186,182.25,,,,
11/2/2015,242,,234,,226,,218,214,210,,202.5,,194.75,,187.25,,179.75,176,,,,
10/30/2015,227.5,,219.75,,212,,204.5,200.5,196.75,,189.25,,181.75,,174.5,,167.25,163.75,,,,
10/29/2015,234.5,,226.5,,218.75,,211,207,203.5,,195.75,,188.25,,180.75,,173.5,170,,,,
10/28/2015,235.25,,227.25,,219.5,,211.75,208,204,,196.5,,189,,181.5,,174.25,170.5,,,,
10/27/2015,218,,210.25,,202.5,,195,191.25,187.5,,180.25,,173,,166,,159,155.5,,,,
10/26/2015,220,,212.5,,204.75,,197,193.25,189.5,,182.25,,175,,168,,160.75,157.25,,,,
10/23/2015,221.25,,213.5,,205.75,,198,194.25,190.5,,183.25,,176,,168.75,,161.75,158.25,,,,
10/22/2015,210.5,,202.75,,195.25,,187.75,184,180.5,,173,,166,,159,,152,148.5,,,,
10/21/2015,182,,174.75,,167.75,,160.75,157.5,154,,147.25,,140.5,,134,,127.5,124.5,,,,
10/20/2015,188.5,,181.5,,174,,167,163.5,160,,153,,146.25,,139.5,,133,129.75,,,,
10/19/2015,192,,184.5,,177.25,,170,166.5,163,,156,,149.25,,142.5,,136,132.75,,,,
10/16/2015,194,,186.75,,179.5,,172.5,169,165.5,,158.5,,151.75,,145,,138.5,135.25,,,,
10/15/2015,190.25,,183.25,,176,,169,165.5,162,,155.5,,148.75,,142,,135.5,132.25,,,,
10/14/2015,170,,163.25,,156.5,,150,146.75,143.5,,137,,131,,124.75,,118.75,115.75,,,,
10/13/2015,175.75,,169,,162,,155.5,152,148.75,,142.25,,136,,129.75,,123.5,120.5,,,,
10/12/2015,184.75,,177.75,,170.5,,163.75,160.25,157,,150.25,,143.5,,137,,130.75,127.5,,,,
10/9/2015,185.5,,178.5,,171.5,,164.75,161.25,158,,151.25,,144.75,,138.25,,131.75,128.75,,,,
10/8/2015,185,,178,,171,,164.25,161,157.5,,151,,144.5,,138,,131.5,128.5,,,,
10/7/2015,174,,167.25,,160.5,,154,150.75,147.5,,141.25,,135,,129,,123,120,,,,
10/6/2015,163,,156.5,,150,,143.5,140.5,137.25,,131.25,,125,,119.25,,113.5,110.5,,,,
10/5/2015,167,,160.5,,154,,147.5,144.25,141.25,,135,,129,,123,,117,114,,,,
10/2/2015,150.25,,144,,137.75,,131.5,128.5,125.5,,119.5,,113.5,,108,,102.5,99.75,,,,
10/1/2015,136.75,,130.75,,125,,119.25,116.5,113.5,,108,,102.75,,97.5,,92.5,90,,,,
9/30/2015,133,,127,,121.5,,115.75,113,110.25,,105,,99.75,,94.75,,89.75,87.25,,,,
9/29/2015,116,,110.5,,105.25,,100,97.5,95,,90,,85.25,,80.5,,76,73.75,,,,
9/28/2015,116,,110.75,,105.5,,100,97.5,95,,90.25,,85.5,,80.75,,76,74,,,,
9/25/2015,139.25,,133.25,,127.5,,121.5,118.75,116,,110.5,,105,,99.75,,94.5,92,,,,
9/24/2015,138.5,,132.5,,126.75,,121,118.25,115.5,,110,,104.75,,99.5,,94.5,92,,,,
9/23/2015,142.5,,136.5,,130.5,,124.5,121.5,118.75,,113,,107.5,,102,,96.75,94.25,,,,
9/22/2015,147,,141,,134.75,,128.75,125.75,123,,117.25,,111.5,,106,,100.5,98,,,,
9/21/2015,163,,156.5,,150,,143.75,140.5,137.5,,131.5,,125.25,,119.5,,113.5,110.75,,,,
9/18/2015,160.25,,153.75,,147.5,,141,138,135,,128.75,,122.75,,117,,111.25,108.5,,,,
9/17/2015,176.5,,170,,163.25,,156.75,153.5,150.25,,144,,137.5,,131.5,,125.5,122.5,,,,
9/16/2015,183,,176.25,,169.5,,163,159.75,156.5,,150,,143.75,,137.5,,131.5,128.25,,,,
9/15/2015,175.75,,169.25,,162.75,,156.5,153.25,150,,144,,138,,132,,126,123.25,,,,
9/14/2015,165,,158.5,,152.5,,146.25,143.25,140.25,,134.25,,128.5,,122.5,,117,114.25,,,,
9/11/2015,168.25,,161.75,,155.25,,149,146,143,,136.75,,130.75,,125,,119.25,116.5,,,,
9/10/2015,163,,156.5,,150.25,,144.25,141,138,,132,,126.25,,120.5,,115,112,,,,
9/9/2015,160.5,,154.25,,148.25,,142.25,139.25,136.25,,130.5,,124.75,,119,,113.5,111,,,,
9/8/2015,175,,168.5,,162.25,,156,152.75,149.75,,143.75,,137.75,,132,,126.25,123.5,,,,
9/4/2015,152.25,,146.25,,140.5,,134.5,131.75,129,,123.5,,118,,113,,107.75,105,,,,
9/3/2015,164,,157.75,,151.5,,145.5,142.5,139.5,,133.75,,128,,122.25,,116.75,114,,,,
9/2/2015,163.75,,157.5,,151.5,,145.5,142.5,139.5,,133.5,,128,,122.25,,116.75,114,,,,
9/1/2015,150,,144.25,,138.25,,132.75,130,127,,121.5,,116.25,,111,,106,103.5,,,,
8/31/2015,177,,170.5,,164,,157.75,154.5,151.5,,145.5,,139.5,,133.5,,127.75,125,,,,
8/28/2015,187,,180.25,,173.5,,167,163.75,160.5,,154.25,,148,,141.75,,135.75,132.75,,,,
8/27/2015,183,,176.25,,169.75,,163.25,160,157,,150.75,,144.5,,138.5,,132.5,129.75,,,,
8/26/2015,150.5,,144.5,,138.25,,132.25,129.5,126.5,,120.75,,115.25,,109.75,,104.25,101.5,,,,
8/25/2015,118.25,,112.75,,107.5,,102.25,99.75,97.25,,92.25,,87.5,,82.75,,78.25,76,,,,
8/24/2015,118.25,,112.75,,107.5,,102.25,99.5,97,,92,,87.25,,82.5,,78,75.75,,,,
8/21/2015,171,,164.5,,158,,151.75,148.5,145.5,,139.5,,133.25,,127.5,,121.5,118.75,,,,
8/20/2015,202.5,,195.5,,188.5,,181.75,178.25,175,,168.25,,161.5,,154.75,,148.25,145,,,,
8/19/2015,232.75,,225,,217.75,,210.25,206.5,203,,195.5,,188.25,,181.25,,174.25,170.75,,,,
