Date,ESM6C 1985 Index  (L1),ESM6C 1990 Index  (R1),ESM6C 1995 Index  (L1),ESM6C 2000 Index  (L1),ESM6C 2005 Index  (L1),ESM6C 2010 Index  (L1),ESM6C 2015 Index  (L1),ESM6C 2020 Index  (L1),ESM6C 2025 Index  (L1),ESM6C 2030 Index  (L1),ESM6C 2035 Index  (L1),ESM6C 2040 Index  (L1),ESM6C 2045 Index  (L1),ESM6C 2050 Index  (L1),ESM6C 2055 Index  (L1),ESM6C 2060 Index  (L1),ESM6C 2065 Index  (L1),ESM6C 2070 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
3/3/2016,69.5,66.5,63.75,60.75,58,55.25,52.5,50,47.25,44.75,42.25,40,37.5,35.25,33,31,29,27,71,71.75,68,72.5
3/2/2016,66.25,63.5,60.5,57.75,55,52.5,49.75,47.25,44.75,42.25,40,37.5,35.5,33.25,31.25,29.25,27.25,25.5,68.5,68.5,68.5,69.25
3/1/2016,65,62.25,59.5,56.5,54,51.25,48.5,46,43.5,41.25,39,36.5,34.5,32.25,30.25,28.25,26.5,24.5,58,67,58,68
2/29/2016,46,43.75,41.5,39.25,37,35,33,31,29.25,27.5,25.75,24,22.5,20.75,19.25,18,16.5,15.25,49,59,49,48.5
2/26/2016,52,49.5,47.25,44.75,42.5,40.25,38,36,34,32,30,28,26.25,24.5,23,21.25,19.75,18.5,54.5,54.5,54.5,54.5
2/25/2016,55,52.5,50,47.5,45,42.75,40.5,38.25,36.25,34,32,30.25,28.25,26.5,24.75,23.25,21.5,20,57.75,57.75,57.75,57.75
2/24/2016,49,46.5,44.25,42,40,37.75,35.75,33.75,31.75,30,28.25,26.5,24.75,23.25,21.75,20.25,18.75,17.5,51.5,51.5,51.5,51.5
2/23/2016,43.25,41,39,37,35,33,31,29.25,27.5,25.75,24.25,22.5,21,19.75,18.25,17,15.75,14.5,50.25,50.25,47,45.5
2/22/2016,50.5,48,45.75,43.5,41.25,39,37,34.75,32.75,31,29,27.25,25.5,23.75,22.25,20.75,19.25,17.75,55,57.5,54.5,53
2/19/2016,44.5,42.5,40.25,38.25,36.25,34.25,32.25,30.5,28.75,27,25.25,23.75,22.25,20.75,19.25,18,16.5,15.5,47,47,47,47
2/18/2016,47.5,45.25,43,41,39,37,35,33,31.25,29.5,27.75,26,24.5,23,21.5,20,18.75,17.5,50,50,50,50
2/17/2016,52.5,50,47.75,45.5,43.5,41.25,39.25,37.25,35.25,33.5,31.5,29.75,28,26.5,25,23.5,22,20.5,52,55.5,52,54.75
2/16/2016,41.5,39.5,37.75,35.75,34,32.25,30.5,29,27.25,25.75,24.25,22.75,21.5,20,18.75,17.5,16.5,15.25,41.75,44,40,43.5
2/12/2016,34.5,32.75,31,29.5,27.75,26.25,24.75,23.5,22,20.75,19.5,18.25,17.25,16,15,14,13,12,36.5,36.5,36.5,36.25
2/11/2016,26,24.75,23.25,22,20.75,19.5,18.25,17.25,16.25,15.25,14.25,13.25,12.25,11.5,10.75,10,9.25,8.5,28.25,28.25,28.25,27.5
2/10/2016,31,29.5,28,26.5,25,23.5,22.25,21,19.5,18.5,17.25,16,15,14,13,12.25,11.25,10.5,32.75,32.75,32.75,32.75
2/9/2016,31.5,30,28.5,27,25.5,24,22.5,21.25,20,18.75,17.5,16.5,15.5,14.5,13.5,12.5,11.5,10.75,33.25,33.25,33.25,33.25
2/8/2016,32.5,31,29.25,27.75,26.25,24.75,23.25,22,20.75,19.5,18.25,17,16,15,14,13,12.25,11.5,40.5,40.5,28.75,34.25
2/5/2016,38,36,34.25,32.5,30.75,29,27.5,26,24.5,23,21.75,20.25,19,18,16.75,15.5,14.5,13.5,39.75,39.75,39.75,39.75
2/4/2016,48.5,46.25,44,42,40,38,36,34.25,32.5,30.5,29,27.25,25.75,24.25,22.75,21.25,20,18.5,50.5,50.5,50.5,50.5
2/3/2016,47.5,45.25,43.25,41,39,37,35.25,33.5,31.5,29.75,28,26.5,25,23.5,22,20.5,19,17.75,49.5,49.5,49.5,49.5
2/2/2016,43.5,41.5,39.5,37.5,35.5,33.75,32,30,28.5,26.75,25.25,23.75,22.25,20.75,19.5,18.25,17,15.75,43.75,43.75,43.75,45.5
2/1/2016,55.5,53,50.5,48.25,46,44,41.75,39.5,37.5,35.75,33.75,32,30.25,28.5,26.75,25.25,23.75,22.25,57.75,57.75,57.75,57.75
1/29/2016,55.75,53.25,51,48.5,46.5,44.25,42,40,38,36,34,32.25,30.5,28.75,27.25,25.5,24,22.5,58,58,58,58
1/28/2016,38.5,36.5,34.75,33,31.25,29.5,28,26.5,25,23.5,22,20.75,19.5,18.25,17,16,15,14,40.5,40.5,40.5,40.5
1/27/2016,38.5,36.5,34.75,33,31.5,29.75,28.25,26.75,25.25,23.75,22.5,21.25,20,18.75,17.5,16.5,15.5,14.5,40.5,40.5,40.5,40.5
1/26/2016,45.75,43.5,41.5,39.75,37.75,36,34.25,32.5,30.75,29.25,27.5,26,24.5,23.25,21.75,20.5,19.25,18,47.75,47.75,47.75,47.75
1/25/2016,37.75,35.75,34,32.25,30.5,29,27.5,26,24.5,23.25,22,20.5,19.5,18.25,17,16,15,14,39.25,39.25,39.25,39.5
1/22/2016,47,45,43,41,39,37,35.25,33.5,31.75,30,28.5,27,25.5,24,22.5,21.25,20,18.75,49,49,49,49.25
1/21/2016,38,36.25,34.5,33,31.25,29.5,28,26.5,25.25,23.75,22.5,21.25,20,18.75,17.75,16.5,15.5,14.5,43.75,44,43.75,40
1/20/2016,36.25,34.5,32.75,31.25,29.5,28,26.5,25.25,23.75,22.5,21.25,20,18.75,17.75,16.5,15.5,14.5,13.75,36,36,35,38
1/19/2016,41.25,39.25,37.5,35.5,33.75,32,30.5,28.75,27.25,25.75,24.25,23,21.5,20.25,19,18,16.75,15.75,43.25,43.25,43.25,43.25
1/15/2016,44,42,40.25,38.25,36.5,34.75,33,31.5,29.75,28.25,26.75,25.25,24,22.5,21.25,20,18.75,17.5,45.5,45.5,43,46
1/14/2016,57.5,55,52.75,50.5,48.5,46.25,44.25,42,40,38.25,36.25,34.5,32.75,31,29.5,27.75,26.25,24.75,52.25,63.5,52.25,60
1/13/2016,46,44,42,40,38.25,36.5,34.5,33,31.25,29.5,28,26.5,25,23.75,22.5,21,20,18.75,48.25,48.25,48.25,48.25
1/12/2016,61,58.5,56,53.75,51.5,49.25,47,45,43,41,39,37,35,33.25,31.5,29.75,28.25,26.5,63.5,63.5,63.5,63.5
1/11/2016,58,55.75,53.5,51.25,49,47,44.75,42.75,40.75,38.75,37,35,33.25,31.5,30,28.25,26.75,25.25,65.75,65.75,65.75,60.5
1/8/2016,62.75,60.5,58,55.75,53.5,51.5,49.25,47.25,45,43.25,41.25,39.25,37.5,35.75,34,32.25,30.75,29,65.25,65.25,65.25,65.25
1/7/2016,70.75,68.25,65.75,63.25,61,58.5,56.25,54,51.75,49.5,47.5,45.5,43.5,41.5,39.5,37.75,36,34,87,87,83.75,73.25
1/6/2016,93.75,90.75,88,85,82.25,79.5,76.5,74,71.25,68.5,66,63.5,61,58.5,56,53.75,51.5,49,96.75,96.75,96.75,96.75
1/5/2016,108,105,101.75,98.75,95.5,92.5,89.5,86.75,83.75,81,78,75.25,72.5,69.75,67,64.5,62,59.5,111.25,111.25,111.25,111.25
1/4/2016,109,106,102.75,99.75,96.5,93.5,90.5,87.75,84.75,82,79.25,76.5,73.75,71,68.25,65.75,63,60.5,112.25,112.25,112.25,112.25
12/31/2015,123.5,120.25,116.75,113.5,110.25,107,103.75,100.5,97.5,94.25,91.25,88.25,85.25,82.25,79.25,76.5,73.75,71,127,127,127,127
12/30/2015,135.5,132,128.5,125,121.5,118.25,114.75,111.5,108.25,105,101.75,98.5,95.5,92.25,89.25,86.25,83.25,80.25,139,139,139,139
12/29/2015,147,143.5,139.75,136.25,132.5,129,125.75,122.25,118.75,115.5,112,108.75,105.5,102.25,99,95.75,92.75,89.5,150.75,150.75,150.75,150.75
12/28/2015,132,128.5,125,121.75,118.25,115,111.5,108.25,105.25,102,98.75,95.5,92.5,89.5,86.5,83.5,80.75,77.75,135.5,135.5,135.5,135.5
12/24/2015,135,131.5,128,124.75,121.25,118,114.75,111.5,108,105,101.75,98.5,95.5,92.5,89.5,86.5,83.5,80.75,138.5,138.5,138.5,138.5
12/23/2015,136,132.5,129.25,125.75,122.5,119,115.75,112.5,109,106,102.75,99.5,96.5,93.5,90.5,87.5,84.5,81.5,139.5,139.5,139.5,139.5
12/22/2015,126,122.75,119.5,116,113,109.75,106.5,103.5,100.25,97.25,94.25,91.25,88.25,85.25,82.5,79.5,76.75,74,129.5,129.5,129.5,129.5
12/21/2015,116.25,113,110,106.75,103.75,100.5,97.5,94.5,91.75,88.75,86,83,80.25,77.5,74.75,72,69.5,67,119.5,119.5,119.5,119.5
12/18/2015,105.75,102.75,99.75,96.75,94,91,88,85.25,82.5,79.75,77,74.5,72,69.25,66.75,64.25,62,59.5,119.75,119.75,119.75,109
12/17/2015,,120.25,,113.75,,107.5,,101.25,98.25,95.25,,89.5,,83.75,,78.25,,72.75,126.75,126.75,126.75,126.75
12/16/2015,,143,,136,,129,,122.5,119,115.75,,109.5,,103,,97,,90.75,150,150,150,150
12/15/2015,,129.75,,123,,116.5,,110.25,107,104,,97.75,,92,,86,,80.5,136.5,136.5,136.5,136.5
12/14/2015,,115.25,,109,,103,,97.25,94.25,91.5,,85.75,,80.25,,75,,70,121.5,121.5,121.5,121.5
12/11/2015,,114,,108,,102,,96.25,93.5,90.75,,85.25,,79.75,,74.5,,69.5,122.5,122.5,122.5,120.5
12/10/2015,,132.75,,126,,119.5,,113.25,110,107,,101,,95,,89,,83.5,139.5,139.5,139.5,139.5
12/9/2015,,128.5,,122,,115.5,,109.25,106,103,,97,,91,,85.25,,79.5,141.5,152.25,141.5,135.25
12/8/2015,,138,,131,,124.5,,117.75,114.5,111.5,,105.25,,99,,93,,87.25,144.75,144.75,144.75,144.75
12/7/2015,,150.75,,143.75,,136.75,,130,126.5,123,,116.5,,110,,103.75,,97.5,158,158,158,158
12/4/2015,,155.75,,148.5,,141.5,,134.5,131.25,127.75,,121,,114.5,,108,,101.75,163.25,163.25,163.25,163.25
12/3/2015,,134.5,,127.75,,121,,114.75,111.5,108.25,,102,,96,,90,,84.5,141.25,141.25,141.25,141.25
12/2/2015,,153,,145.75,,138.75,,132,128.5,125.25,,118.5,,112,,105.75,,99.5,160.25,160.25,160.25,160.25
12/1/2015,,164.75,,157.5,,150.25,,143.25,139.75,136.25,,129.5,,122.5,,116,,109.5,172.25,172.25,172.25,172.25
11/30/2015,,153.5,,146.5,,139.75,,132.75,129.5,126,,119.5,,113,,106.75,,100.5,160.75,160.75,160.75,160.75
11/27/2015,,160.5,,153.5,,146.5,,139.5,136.25,132.75,,126,,119.25,,112.75,,106.25,167.75,167.75,167.75,167.75
11/25/2015,,159.75,,152.5,,145.5,,138.5,135,131.5,,125,,118.25,,112,,105.75,167,167,167,167
11/24/2015,,158.5,,151.5,,144.5,,137.5,134,130.75,,124,,117.5,,111,,104.75,165.75,165.75,165.75,165.75
11/23/2015,,157.75,,150.75,,143.75,,137,133.5,130.25,,123.5,,117.25,,111,,104.75,165,165,165,165
11/20/2015,,162,,155,,148,,141.25,137.75,134.5,,127.75,,121.25,,114.75,,108.5,169.5,169.5,169.5,169.5
11/19/2015,,157.5,,150.5,,143.75,,137,133.75,130.5,,124,,117.5,,111.25,,105.25,164.5,164.5,164.5,164.5
11/18/2015,,156,,148.75,,142,,135.25,131.75,128.5,,122,,115.75,,109.5,,103.25,163,163,163,163
11/17/2015,,138,,131.5,,125,,118.75,115.5,112.5,,106.5,,100.5,,94.75,,89,144.75,144.75,144.75,144.75
11/16/2015,,136.5,,130,,123.5,,117.5,114.25,111.25,,105,,99.25,,93.5,,87.75,143.5,143.5,143.5,143.5
11/13/2015,,123,,116.75,,110.5,,104.75,101.75,99,,93.25,,87.75,,82.25,,77,129.25,129.25,129.25,129.25
11/12/2015,,133.25,,126.75,,120.5,,114.25,111,108,,102,,96.25,,90.5,,84.75,140,140,140,140
11/11/2015,,148.5,,141.5,,134.75,,128.25,125,121.5,,115.25,,109,,102.75,,96.75,161.25,161.25,161.25,155.5
11/10/2015,,153.75,,146.75,,140,,133,129.75,126.5,,120,,113.5,,107.25,,101,161.25,161.25,161.25,160.75
11/9/2015,,152.25,,145.25,,138.5,,132,128.5,125.5,,119,,112.75,,106.5,,100.5,159.25,159.25,159.25,159.25
11/6/2015,,164.5,,157.5,,150.5,,143.5,140,136.5,,130,,123.25,,116.75,,110.5,171.75,171.75,171.75,171.75
11/5/2015,,166,,159,,151.75,,145,141.5,138,,131.5,,124.75,,118.5,,112,173.5,173.5,173.5,173.5
11/4/2015,,167.5,,160.25,,153,,146,142.75,139.25,,132.5,,125.75,,119.25,,113,174.75,174.75,174.75,174.75
11/3/2015,,171.25,,164,,156.75,,149.75,146.25,142.75,,136,,129,,122.5,,116,178.5,178.5,178.5,178.5
11/2/2015,,165,,157.75,,150.75,,143.75,140.25,137,,130,,123.5,,117,,110.5,172.5,172.5,172.5,172.5
10/30/2015,,153.25,,146.25,,139.5,,132.75,129.5,126.25,,119.75,,113.5,,107,,101,160.25,160.25,160.25,160.25
10/29/2015,,159.25,,152,,145.25,,138.5,135,131.75,,125,,118.75,,112.5,,106.25,166.5,166.5,166.5,166.5
10/28/2015,,159.75,,152.75,,146,,139.25,135.75,132.5,,126,,119.5,,113.25,,107,167,167,167,167
10/27/2015,,145.25,,138.5,,131.75,,125,122,118.75,,112.5,,106.5,,100.5,,94.5,152,152,152,152
10/26/2015,,147,,140.5,,133.75,,127.25,124,120.75,,114.5,,108,,102,,96,154,154,154,154
10/23/2015,,148,,141,,134.25,,127.75,124.5,121.25,,115,,108.75,,102.75,,96.75,154.75,154.75,154.75,154.75
10/22/2015,,138.25,,131.5,,125,,118.5,115.5,112.25,,106.25,,100.25,,94.5,,88.75,145,145,145,145
10/21/2015,,115.25,,109,,103.25,,97.5,94.75,92,,86.5,,81,,76,,71,121.5,121.5,121.5,121.5
10/20/2015,,120.25,,114,,108,,102,99.25,96.25,,90.75,,85.25,,80,,74.75,126.5,126.5,126.5,126.5
10/19/2015,,123.25,,117,,111,,105,102,99,,93.5,,87.75,,82.5,,77,129.5,129.5,129.5,129.5
10/16/2015,,125.75,,119.5,,113.5,,107.5,104.5,101.5,,96,,90.25,,85,,79.5,132,132,132,132
10/15/2015,,123,,116.75,,110.5,,104.75,101.75,99,,93.5,,88,,82.75,,77.5,129,129,129,129
10/14/2015,,107,,101.25,,95.5,,90.25,87.5,85,,79.75,,75,,70.25,,65.5,112.75,112.75,112.75,112.75
10/13/2015,,111.5,,105.75,,100,,94.5,92,89.25,,84,,79,,74,,69.25,117.5,117.5,117.5,117.5
10/12/2015,,118.25,,112.25,,106.5,,100.75,98,95,,89.75,,84.5,,79.25,,74.25,124.5,124.5,124.5,124.5
10/9/2015,,119.5,,113.5,,107.75,,102,99.25,96.5,,91,,85.75,,80.5,,75.5,112.25,120.5,112.25,125.5
10/8/2015,,119.5,,113.5,,107.75,,102,99.25,96.5,,91,,86,,80.75,,76,112.25,120.5,112.25,125.5
10/7/2015,,111,,105.25,,99.5,,94,91.25,88.5,,83.5,,78.5,,73.75,,69.25,114.75,114.75,114.75,117
10/6/2015,,102.25,,96.75,,91.5,,86.5,84,81.5,,76.75,,72,,67.5,,63,107.75,107.75,107.75,107.75
10/5/2015,,105.5,,100,,94.5,,89.5,86.75,84.25,,79.5,,74.75,,70,,65.75,111.25,111.25,111.25,111.25
10/2/2015,,91.75,,86.75,,82,,77.25,75,72.5,,68.25,,64,,59.75,,55.75,87.75,87.75,84.5,97
10/1/2015,,82.75,,78,,73.5,,69,67,64.75,,60.75,,56.75,,53,,49.25,87.5,87.5,87.5,87.5
9/30/2015,,80.25,,75.5,,71.25,,67,64.75,62.75,,58.75,,54.75,,51,,47.5,85,85,85,85
9/29/2015,,67.25,,63.25,,59.25,,55.5,53.5,51.75,,48.25,,45,,41.75,,38.75,71.5,71.5,71.5,71.5
9/28/2015,,67.5,,63.25,,59.25,,55.5,53.5,51.75,,48.25,,45,,41.75,,38.5,71.75,71.75,71.75,71.75
9/25/2015,,84.75,,80,,75.25,,70.75,68.5,66.5,,62.25,,58.25,,54.5,,50.75,89.5,89.5,89.5,89.5
9/24/2015,,84.5,,80,,75.25,,71,68.75,66.5,,62.25,,58.25,,54.25,,50.5,89.5,89.5,89.5,89.5
9/23/2015,,86.5,,81.75,,77,,72.25,70,68,,63.5,,59.5,,55.5,,51.75,91.5,91.5,91.5,91.5
9/22/2015,,90.25,,85.25,,80.5,,75.75,73.5,71,,66.75,,62.5,,58.5,,54.5,95.25,95.25,95.25,95.25
9/21/2015,,102.5,,97,,91.75,,86.5,84,81.5,,76.75,,72,,67.5,,63,108,108,108,108
9/18/2015,,100.5,,95,,90,,85,82.5,80.25,,75.5,,71,,66.5,,62.25,105.75,105.75,105.75,105.75
9/17/2015,,113.75,,108.25,,102.75,,97.25,94.75,92,,87,,82,,77.25,,72.5,119.5,119.5,119.5,119.5
9/16/2015,,119.5,,113.5,,108,,102.25,99.5,97,,91.5,,86.5,,81.5,,76.75,125.25,125,117.25,125.25
9/15/2015,,114.75,,109,,103.75,,98.5,95.75,93.25,,88.25,,83.25,,78.5,,74,120.25,120.75,108.25,120.25
9/14/2015,,106,,100.75,,95.75,,90.75,88.5,86,,81.5,,77,,72.75,,68.5,111.5,119,109,111.5
9/11/2015,,108,,102.75,,97.5,,92.5,90,87.75,,83,,78.25,,73.75,,69.5,113.5,113.75,105,113.5
9/10/2015,,104,,99,,94,,89,86.5,84.25,,79.5,,75,,70.5,,66.25,109.5,117.5,105,109.5
9/9/2015,,103,,97.75,,92.75,,88,85.5,83.25,,78.5,,74,,69.75,,65.5,108.25,130.75,106.25,108.25
9/8/2015,,115,,109.75,,104.5,,99.25,96.75,94.25,,89.25,,84.5,,80,,75.5,120.5,121,101.75,120.5
9/4/2015,,97.75,,92.75,,88,,83.5,81.25,79,,74.5,,70.5,,66.25,,62.25,102.5,109.75,98.5,102.5
