Date,ESM6C 1985 Index  (L1),ESM6C 1990 Index  (R1),ESM6C 1995 Index  (L1),ESM6C 2000 Index  (L1),ESM6C 2005 Index  (L1),ESM6C 2010 Index  (L1),ESM6C 2015 Index  (L1),ESM6C 2020 Index  (L1),ESM6C 2025 Index  (L1),ESM6C 2030 Index  (L1),ESM6C 2035 Index  (L1),ESM6C 2040 Index  (L1),ESM6C 2045 Index  (L1),ESM6C 2050 Index  (L1),ESM6C 2055 Index  (L1),ESM6C 2060 Index  (L1),ESM6C 2065 Index  (L1),ESM6C 2070 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
5/23/2016,71.5,67.5,63.5,59.5,55.5,51.75,48,44.25,40.75,37.5,34,31,28,25,22.25,19.75,17.25,15,79.75,79.75,77.5,75.75
5/20/2016,76.75,72.5,68.5,64.5,60.75,56.75,53,49.25,45.5,42,38.5,35.25,32,29,26,23.25,20.75,18.25,81,81,81,81
5/19/2016,70.25,66.25,62.5,58.75,55,51.5,48,44.5,41,37.75,34.5,31.5,28.5,26,23.25,20.75,18.5,16.25,74,74,66,74
5/18/2016,73,69,65,61.25,57.5,53.75,50.25,46.75,43.25,40,37,33.75,31,28,25.25,22.75,20.25,18,80.25,82.25,80.25,77
5/17/2016,74.5,70.5,66.5,62.75,59,55.25,51.75,48.25,44.75,41.5,38.25,35,32,29,26,23.5,21,18.5,80,80,80,78.5
5/16/2016,89.5,85.25,81,77,73,69,65,61.25,57.5,53.75,50,46.5,43,39.75,36.5,33.25,30.25,27.25,84,84,84,93.75
5/13/2016,76,72,68.25,64.5,60.75,57,53.5,50,46.5,43.25,40,36.75,33.75,30.75,28,25.25,22.75,20.25,80,80,80,80
5/12/2016,87.75,83.75,79.5,75.5,71.5,67.75,64,60,56.5,52.75,49.25,46,42.5,39.25,36,33,30,27.25,89,89,88.25,92
5/11/2016,88,84,80,76,72,68.25,64.5,60.5,57,53.5,50,46.5,43.25,40,36.75,33.75,30.75,28,107,107,107,92.25
5/10/2016,103.5,99,95,90.5,86.5,82.25,78.25,74.25,70.25,66.25,62.5,58.75,55,51.5,47.75,44.25,41,37.75,89,89,89,107.75
5/9/2016,85.5,81.5,77.5,73.75,69.75,66,62.25,58.75,55,51.5,48.25,44.75,41.5,38.5,35.5,32.5,29.5,27,89.75,89.75,89.75,89.75
5/6/2016,86,82,78.25,74.25,70.5,66.75,63,59.5,55.75,52.5,49,45.5,42.5,39.25,36.25,33.25,30.5,27.75,77.5,84.75,77.5,90
5/5/2016,81.5,77.75,74,70.25,66.5,63,59.5,56,52.5,49.5,46.25,43,40,37,34,31.25,28.5,26,85.5,85.5,85.5,85.5
5/4/2016,84.5,80.75,77,73,69.5,65.75,62,58.5,55.25,51.75,48.5,45.5,42.25,39.25,36.5,33.5,31,28.25,89.5,89.5,89.5,88.5
5/3/2016,92,88.25,84.25,80.25,76.5,72.75,69,65.25,61.75,58.25,54.75,51.5,48,45,41.75,38.75,35.75,33,96,96,96,96
5/2/2016,105.25,101,96.75,92.75,88.75,84.75,81,77,73.25,69.5,65.75,62,58.25,54.75,51.25,47.75,44.5,41.5,109.5,109.5,109.5,109.5
4/29/2016,96,92,88,84,80.25,76.5,72.75,69,65.5,61.75,58.25,54.75,51.5,48,45,41.75,38.75,36,97.75,98.75,93.25,100
4/28/2016,106,101.75,97.75,93.5,89.5,85.5,81.75,78,74.25,70.5,66.75,63.25,59.75,56.25,52.75,49.5,46.25,43,110,110,110,110
4/27/2016,119.5,115.25,111,106.75,102.5,98.25,94,90,86,82,78.25,74.5,70.5,66.75,63,59.5,56,52.5,124,124,124,124
4/26/2016,118.25,114,109.75,105.5,101.25,97,93,89,85,81,77.25,73.5,69.75,66,62.25,58.75,55.25,51.75,122.75,122.75,122.75,122.75
4/25/2016,114.75,110.5,106.5,102.25,98,94,90,86,82.25,78.5,74.5,70.75,67,63.5,59.75,56.25,52.75,49.5,119,119,119,119
4/22/2016,117,112.75,108.5,104.5,100.25,96.25,92.25,88.25,84.25,80.25,76.5,72.75,69,65.5,61.75,58.25,54.75,51.25,114,114,114,121.5
4/21/2016,116,111.75,107.5,103.5,99.25,95.25,91.25,87.25,83.5,79.5,76,72,68.5,64.75,61.25,57.75,54.5,51,120,120,120,120
4/20/2016,128,123.5,119.25,115,110.75,106.5,102.5,98.5,94.25,90.25,86.5,82.5,78.5,75,71,67.5,63.75,60,132.5,132.5,132.5,132.5
4/19/2016,124.75,120.5,116,112,107.75,103.5,99.5,95.5,91.5,87.5,83.5,79.5,76,72,68.5,64.75,61.25,57.75,129,129,129,129
4/18/2016,119.25,115,110.75,106.5,102.5,98.5,94.25,90.25,86.25,82.25,78.5,74.75,71,67.25,63.75,60.25,56.75,53.25,118.5,118.5,118.5,123.5
4/15/2016,111.5,107.5,103.5,99.5,95.5,91.5,87.5,83.75,80,76.25,72.5,68.75,65.25,61.75,58.25,55,51.5,48.25,116.25,116.25,116.25,115.75
4/14/2016,114,109.75,105.75,101.5,97.5,93.75,89.75,86,82.25,78.5,74.75,71.25,67.5,64,60.5,57,53.75,50.5,115,117.25,115,118
4/13/2016,114,110,105.75,101.75,97.75,93.75,90,86,82.25,78.5,75,71.25,67.75,64.25,60.75,57.25,54,50.75,118,118,118,118
4/12/2016,100.5,96.5,92.75,89,85,81.5,77.75,74.25,70.75,67.25,63.75,60.25,57,53.75,50.5,47.5,44.5,41.5,104.5,104.5,104.5,104.5
4/11/2016,87.25,83.5,80,76.5,73,69.5,66,62.75,59.5,56.25,53.25,50,47,44.25,41.25,38.5,36,33.25,91,91,91,91
4/8/2016,91.5,87.75,84,80.5,77,73.5,70,66.5,63.25,60,56.75,53.5,50.5,47.5,44.5,41.5,38.75,36,93,93,93,95.25
4/7/2016,89.5,86,82.5,78.75,75.25,71.75,68.5,65,61.75,58.5,55.25,52,49,46,43.25,40.5,37.75,35,103.5,103.5,103.5,93.25
4/6/2016,104.5,100.5,96.75,93,89.25,85.5,81.75,78.25,74.5,71,67.5,64,60.75,57.5,54.25,51,48,45,108.5,108.5,108.5,108.5
4/5/2016,91.5,87.75,84,80.5,77,73.5,70,66.75,63.5,60.25,57.25,54,51,48,45.25,42.25,39.5,37,95,95,95,95
4/4/2016,102.75,99,95,91.25,87.5,84,80.25,76.75,73.25,69.75,66.5,63,59.5,56.5,53.25,50,47,44.25,106.5,106.5,106.5,106.5
4/1/2016,108,104,100,96,92.25,88.5,84.75,81,77.25,73.75,70.25,66.75,63.25,60,56.5,53.5,50.25,47.25,112,112,112,112
3/31/2016,99.25,95.5,91.5,88,84.25,80.5,77,73.5,70,66.75,63.25,60,56.75,53.5,50.5,47.5,44.5,41.75,102,105,102,103
3/30/2016,101.5,97.5,93.75,90,86.25,82.5,79,75.5,72,68.5,65,61.75,58.5,55.25,52.25,49,46,43.25,105.5,105.5,105.5,105.5
3/29/2016,97,93.25,89.5,86,82.25,78.75,75.25,71.75,68.25,65,61.5,58.25,55,52,49,46,43.25,40.5,86.25,88.75,86.25,101
3/28/2016,86.25,82.75,79.5,76,72.5,69.25,66,63,59.75,56.5,53.5,50.5,47.75,45,42.25,39.5,37,34.5,90,90,90,90
3/24/2016,88.5,85,81.5,78,74.5,71.25,68,64.75,61.5,58.5,55.25,52.25,49.5,46.5,43.75,41,38.5,36,90,90,89.25,92
3/23/2016,89,85.25,81.75,78.5,75,71.5,68.25,65,62,58.75,55.75,52.75,50,47,44.25,41.5,38.75,36.25,92.5,92.5,92.5,92.5
3/22/2016,97.25,93.5,90,86.25,82.75,79,75.75,72.25,69,65.5,62.25,59,56,53,50,47,44.25,41.5,101,101,101,101
3/21/2016,97.75,94,90.25,86.75,83,79.5,76.25,72.75,69.5,66,63,59.75,56.5,53.5,50.5,47.5,44.75,42,100,100,100,101.5
3/18/2016,95.75,92.25,88.5,85,81.5,78.25,74.75,71.5,68.25,65,61.75,58.5,55.5,52.5,49.5,46.75,44,41.5,98,101,98,99.5
3/17/2016,91.5,87.75,84.25,81,77.5,74,70.75,67.5,64.5,61.25,58.25,55.25,52.25,49.5,46.75,44,41.5,38.75,95,95,95,95
3/16/2016,84.25,81,77.5,74.25,71,67.75,64.5,61.5,58.5,55.5,52.5,49.5,46.75,44,41.5,39,36.5,34.25,82.5,82.5,82.5,87.75
3/15/2016,79.75,76.5,73.5,70.25,67,64,61,58,55.25,52.5,49.5,47,44.25,41.5,39,36.75,34.5,32.25,83,83,83,83
3/14/2016,82,78.75,75.5,72.25,69,66,62.75,59.75,57,54,51.25,48.5,45.75,43.25,40.5,38.25,35.75,33.5,86.25,86.25,86.25,85.5
3/11/2016,84.75,81.5,78,75,71.75,68.5,65.5,62.5,59.5,56.5,53.75,51,48.25,45.5,43,40.5,38,35.75,81,81,81,88.25
3/10/2016,68.5,65.5,62.5,59.5,56.75,54,51.25,48.75,46,43.5,41.25,38.75,36.5,34.25,32.25,30,28,26.25,65.75,72.5,65.75,71.5
3/9/2016,69.5,66.5,63.5,60.5,57.75,55,52.5,49.75,47.25,44.75,42.5,40,37.75,35.5,33.25,31,29,27,72.5,72.5,72.5,72.5
3/8/2016,65.75,63,60,57.25,54.5,52,49.5,47,44.5,42,39.5,37.25,35,33,31,29,27,25,68.75,68.75,68.75,68.75
3/7/2016,74.25,71,68,65,62.25,59.25,56.5,53.75,51,48.5,45.75,43.25,41,38.5,36.25,34,32,29.75,75.75,75.75,75.75,77.25
3/4/2016,72,69,66,63,60,57.25,54.5,51.75,49.25,46.5,44,41.75,39.25,37,34.75,32.75,30.5,28.5,72.5,78,72,75
