Date,ESM6P 2080 Index,ESM6P 2085 Index,ESM6P 2090 Index,ESM6P 2095 Index,ESM6P 2100 Index,ESM6P 2105 Index,ESM6P 2110 Index,ESM6P 2115 Index,ESM6P 2120 Index,ESM6P 2125 Index,ESM6P 2130 Index,ESM6P 2135 Index,ESM6P 2140 Index,ESM6P 2145 Index,ESM6P 2150 Index,ESM6P 2155 Index,ESM6P 2160 Index,ESM6P 2165 Index,Open,High,Low,Close
5/23/2016,45.75,49,52.5,56,60,64,68,72.25,76.75,81.25,86,90.75,95.5,100.25,105.25,110,115,120,40.75,42,39,42.5
5/20/2016,43.75,46.75,50,53.5,57,60.75,64.5,68.5,73,77.25,81.75,86.5,91,96,100.75,105.5,110.5,115.5,43.25,44.25,38.75,41
5/19/2016,53.5,57,60.25,64,67.75,71.5,75.75,80,84.25,88.5,93.25,97.75,102.5,107.25,112,117,121.75,126.75,50.5,50.5,50.5,50.5
5/18/2016,52,55.25,58.5,62,65.5,69.5,73.5,77.5,81.75,86,90.5,95.25,99.75,104.5,109.25,114.25,119,124,43.25,51.25,43.25,49
5/17/2016,50.5,53.75,57,60.5,64,67.75,71.75,75.75,80,84.25,88.75,93.25,98,102.75,107.5,112.25,117,122,37.75,51.25,37.25,47.75
5/16/2016,39.25,41.75,44.25,47.25,50.25,53.25,56.75,60.25,64,67.75,71.75,76,80.25,84.5,89.25,93.75,98.5,103.25,50.25,50.25,33.75,36.75
5/13/2016,52.25,55.25,58.5,61.75,65.25,68.75,72.5,76.5,80.75,85,89.25,93.75,98.5,103,107.75,112.5,117.25,122,38.25,52.25,38.25,49.5
5/12/2016,43.25,45.75,48.5,51.5,54.5,57.75,61,64.5,68.25,72,76,80,84.5,88.75,93.25,98,102.5,107.25,42.25,45.25,36.5,40.75
5/11/2016,44.75,47.25,50,53,56,59.25,62.5,66,69.75,73.5,77.5,81.5,85.75,90,94.5,99,103.75,108.5,32.25,41,31.75,42.25
5/10/2016,34,36,38.25,40.75,43.25,46,48.75,51.75,54.75,58,61.5,65.25,69,73,77,81.25,85.5,90,40,40.75,31.25,32
5/9/2016,47.5,50.25,53,56,59,62.25,65.75,69.25,73,76.75,80.75,84.75,89,93.5,98,102.5,107.25,112,44,46,42.75,45
5/6/2016,50,52.75,55.5,58.5,61.5,64.75,68,71.75,75.5,79.25,83.25,87.25,91.5,95.75,100,104.75,109.25,114,56,58.5,56,47.5
5/5/2016,57.5,60.25,63.25,66.25,69.5,72.75,76.25,80,83.5,87.5,91.5,95.75,100,104.5,109,113.5,118,122.75,50.5,54.5,50.5,54.75
5/4/2016,56.5,59.25,62,65,68.25,71.5,75,78.5,82,85.75,89.75,93.75,98,102.25,106.5,111,115.5,120.25,50,57.25,50,54
5/3/2016,50.75,53,55.75,58.5,61.25,64.25,67.5,70.75,74,77.75,81.25,85,89,93.25,97.5,101.75,106,110.5,39.5,51.75,39.5,48.25
5/2/2016,41,43,45.25,47.75,50,52.75,55.25,58,61,64.25,67.5,71,74.5,78,82,86,90,94.25,44.75,44.75,38,39
4/29/2016,51.25,53.5,56,58.75,61.5,64.25,67.25,70.5,73.75,77,80.75,84.5,88.25,92,96.25,100.5,104.75,109,44,56.75,42.75,49
4/28/2016,44.5,46.5,48.75,51,53.5,56.25,59,61.75,64.75,68,71,74.5,78,81.5,85.25,89.25,93.25,97.5,33,46,31.75,42.5
4/27/2016,35,37,39,41,43,45.25,47.5,50,52.5,55,58,61,64,67.25,70.5,74.25,78,81.75,37,40.25,32.25,33.5
4/26/2016,36.75,38.75,40.75,42.75,45,47,49.5,51.75,54.25,57,60,63,66,69.25,72.75,76.5,80,84,38.25,38.25,36.25,35
4/25/2016,39.75,41.75,43.75,46,48,50.5,53,55.5,58,61,64,67,70.25,73.5,77,80.75,84.5,88.5,41.5,44,38.25,38
4/22/2016,38.75,40.5,42.5,44.5,46.75,49,51.5,54,56.5,59.25,62,65,68.25,71.5,75,78.5,82.25,86.25,42,42.75,37,37
4/21/2016,42,44,46,48,50.25,52.5,55,57.5,60,63,65.75,69,72,75.25,78.75,82.5,86,90,34,41.5,32,40
4/20/2016,35.25,36.75,38.5,40.5,42.25,44.25,46.5,48.75,51,53.5,56.25,59,61.75,64.5,67.75,70.75,74.25,77.75,37,37,31,33.5
