Date,ESM6P 2270 Index  (R1),ESM6P 2265 Index  (R1),ESM6P 2275 Index  (R1),ESM6P 2280 Index  (R1),ESM6P 2285 Index  (R1),ESM6P 2290 Index  (R1),ESM6P 2295 Index  (R1),ESM6P 2300 Index  (L1),ESM6P 2305 Index  (R1),ESM6P 2310 Index  (L1),ESM6P 2315 Index  (R1),ESM6P 2320 Index  (L1),ESM6P 2325 Index  (L1),ESM6P 2330 Index  (L1),ESM6P 2335 Index  (R1),ESM6P 2340 Index  (L1)
3/16/16,252.75,247.75,257.75,262.75,267.75,272.75,277.75,282.75,287.75,292.75,297.75,302.75,307.75,312.75,317.75,322.75
3/15/16,263.75,258.75,268.75,273.75,278.5,283.5,288.5,293.5,298.5,303.5,308.5,313.5,318.5,323.5,328.5,333.5
3/14/16,261,256,266,270.75,275.75,280.75,285.75,290.75,295.75,300.75,305.75,310.75,315.75,320.75,325.75,330.75
3/11/16,259.5,254.5,264.5,269.5,274.5,279.5,284.5,289.5,294.5,299.5,304.5,309.5,314.5,319.5,324.5,329.5
3/10/16,290.5,285.5,295.5,300.5,305.5,310.5,315.5,320.5,325.5,330.5,335.5,340.5,345.5,350.5,355.5,360.5
3/9/16,290.25,285.25,295.25,300.25,305.25,310.25,315.25,320.25,325.25,330.25,335.25,340.25,345.25,350.25,355.25,360.25
3/8/16,298.5,293.5,303.5,308.5,313.5,318.5,323.5,328.5,333.5,338.5,343.5,348.5,353.5,358.5,363.5,368.5
3/7/16,280.25,275.25,285.25,290,295,300,305,310,315,320,325,330,335,340,345,350
3/4/16,284.5,279.5,289.25,294.25,299.25,304.25,309.25,314.25,319.25,324.25,329.25,334.25,339.25,344.25,349.25,354.25
3/3/16,288.75,283.75,293.75,298.75,303.75,308.75,313.75,318.75,323.75,328.75,333.75,338.75,343.75,348.75,353.75,358.75
3/2/16,295.75,290.75,300.75,305.75,310.75,315.75,320.75,325.75,330.75,335.75,340.75,345.75,350.75,355.75,360.75,365.75
3/1/16,301.25,296.25,306.25,311.25,316.25,321.25,326.25,331.25,336.25,341.25,346.25,351.25,356.25,361.25,366.25,371.25
2/29/16,349.75,344.75,354.75,359.75,364.75,369.75,374.75,379.75,384.75,389.75,394.75,399.75,404.75,409.75,414.75,419.75
2/26/16,336.5,331.5,341.5,346.5,351.5,356.5,361.5,366.5,371.5,376.5,381.5,386.5,391.5,396.5,401.5,406.5
2/25/16,328.75,323.75,333.75,338.75,343.75,348.75,353.75,358.75,363.75,368.75,373.75,378.75,383.75,388.75,393.75,398.75
2/24/16,349,344,354,359,364,369,374,379,384,389,394,399,404,409,414,419
2/23/16,362.75,357.75,367.75,372.75,377.75,382.75,387.75,392.75,397.75,402.75,407.75,412.75,417.75,422.75,427.75,432.75
2/22/16,342.5,337.5,347.5,352.5,357.5,362.5,367.5,372.5,377.5,382.5,387.5,392.5,397.5,402.5,407.5,412.5
2/19/16,364.25,359.25,369.25,374.25,,384.25,,394.25,,404.25,,414.25,419.25,424.25,,434.25
2/18/16,362.25,357.25,367.25,372.25,,382.25,,392.25,,402.25,,412.25,417.25,422.25,,432.25
2/17/16,356.25,351.25,361.25,366.25,,376.25,,386.25,,396.25,,406.25,411.25,416.25,,426.25
2/16/16,390,385,395,400,,410,,420,,430,,440,445,450,,460
2/12/16,420.75,415.75,425.75,430.75,,440.75,,450.75,,460.75,,470.75,475.75,480.75,,490.75
2/11/16,454.5,449.5,459.5,464.5,,474.5,,484.5,,494.5,,504.5,509.5,514.5,,524.5
2/10/16,432.25,427.25,437.25,442.25,,452.25,,462.25,,472.25,,482.25,487.25,492.25,,502.25
2/9/16,430.5,425.5,435.5,440.5,,450.5,,460.5,,470.5,,480.5,485.5,490.5,,500.5
2/8/16,426.75,421.75,431.75,436.75,,446.75,,456.75,,466.75,,476.75,481.75,486.75,,496.75
2/5/16,403.5,398.5,408.5,413.5,,423.5,,433.5,,443.5,,453.5,458.5,463.5,,473.5
2/4/16,371,366,376,381,,391,,401,,411,,421,426,431,,441
2/3/16,370.25,365.25,375.25,380.25,,390.25,,400.25,,410.25,,420.25,425.25,430.25,,440.25
2/2/16,381,376,386,391,,401,,411,,421,,431,436,441,,451
2/1/16,347,342.25,352,357,,367,,377,,387,,397,402,407,,417
1/29/16,348.25,343.25,353.25,358.25,,368.25,,378,,388,,398,403,408,,418
1/28/16,397.5,392.5,402.5,407.5,,417.5,,427.5,,437.5,,447.5,452.5,457.5,,467.5
1/27/16,403,398,408,413,,423,,433,,443,,453,458,463,,473
1/26/16,382.25,377.25,387.25,392.25,,402.25,,412.25,,422.25,,432.25,437.25,442.25,,452.25
1/25/16,408,403,413,418,,428,,438,,448,,458,463,468,,478
1/22/16,379,374,384,389,,399,,409,,419,,429,434,439,,449
1/21/16,417.25,412.25,422.25,427.25,,437,,447,,457,,467,472,477,,487
1/20/16,423.25,418.25,428.25,433.25,,443.25,,453.25,,463.25,,473.25,478.25,483.25,,493.25
1/19/16,405,400,410,414.75,,424.75,,434.75,,444.75,,454.75,459.75,464.75,,474.75
1/15/16,402.75,397.75,407.75,412.75,,422.75,,432.5,,442.5,,452.5,457.5,462.5,,472.5
1/14/16,363.25,358.5,368.25,373.25,,383,,393,,403,,412.75,417.75,422.75,,432.75
1/13/16,396.25,391.25,401.25,406,,416,,426,,436,,446,451,456,,466
1/12/16,353,348.25,358,363,,372.75,,382.75,,392.5,,402.5,407.5,412.5,,422.5
1/11/16,363.75,359,368.75,373.5,,383.5,,393.5,,403.25,,413.25,418.25,423.25,,433
1/8/16,367,362.25,372,376.75,,386.5,,396.5,,406.25,,416.25,421,426,,436
1/7/16,345.75,341,350.75,355.5,,365.25,,375,,385,,394.75,399.75,404.75,,414.5
1/6/16,293.5,288.75,298.25,303,,312.5,,322.25,,332,,341.75,346.75,351.75,,361.5
1/5/16,268.75,264,273.25,278,,287.5,,297,,306.5,,316.25,321.25,326,,336
1/4/16,272,267.25,276.5,281,,290.5,,300,,309.5,,319.25,324,329,,338.75
12/31/15,246.5,242,251,255.5,,264.5,,274,,283.5,,293,297.75,302.5,,312.25
12/30/15,228.5,224.25,233,237.5,,246.5,,255.5,,265,,274.25,279,283.75,,293.5
12/29/15,212.5,,216.75,221,,229.75,,238.5,,247.5,,256.75,261.5,266.25,,275.5
12/28/15,234.25,,238.75,243.25,,252.25,,261.5,,270.75,,280.25,285,289.75,,299.25
12/24/15,233,,237.25,241.75,,250.5,,259.5,,268.75,,278.25,283,287.5,,297.25
12/23/15,231.25,,235.5,240,,248.75,,257.75,,267,,276.25,281,285.75,,295.25
12/22/15,247.75,,252,256.5,,265.5,,274.75,,284,,293.5,298,303,,312.5
12/21/15,267.75,,272.25,276.75,,286,,295.25,,304.75,,314.25,319,323.75,,333.5
12/18/15,289.75,,294.25,299,,308.25,,317.5,,327,,336.75,341.5,346.5,,356
12/17/15,259,,263.5,268,,277,,286.25,,295.5,,305,309.5,314.25,,324
12/16/15,224.5,,228.5,232.75,,241.25,,250,,259,,268,272.5,277.25,,286.5
12/15/15,249.5,,253.75,258,,267,,275.75,,285,,294,298.75,303.5,,312.75
12/14/15,275,,279.25,283.75,,292.75,,302,,311.25,,320.5,325.25,330,,339.5
12/11/15,283.5,,287.75,292.25,,301,,310,,319.25,,328.75,333.5,338,,347.75
12/10/15,246,,250.25,254.5,,263.25,,272,,281,,290.25,294.75,299.5,,308.75
12/9/15,251.75,,256,260.25,,269,,278,,287,,296.25,301,305.5,,315
12/8/15,236.25,,240.5,244.75,,253.25,,262,,271,,280,284.75,289.25,,298.5
12/7/15,216,,220,224,,232.5,,241,,249.5,,258.5,263,267.5,,276.5
12/4/15,209.5,,213.5,217.5,,225.75,,234.25,,242.75,,251.5,256,260.5,,269.5
12/3/15,242.5,,246.5,251,,259.5,,268.5,,277.5,,286.5,291.25,295.75,,305.25
12/2/15,216,,220,224,,232.25,,240.75,,249.25,,258,262.5,267,,276
12/1/15,200.75,,204.5,208.5,,216.25,,224.5,,232.75,,241.5,245.75,250,,259
11/30/15,219,,223,227,,235,,243.5,,252,,260.75,265,269.5,,278.5
11/27/15,210.5,,214.5,218.25,,226.25,,234.5,,242.75,,251.25,255.75,260,,269
11/25/15,212.5,,216.25,220.25,,228.25,,236.5,,244.75,,253.25,257.5,262,,271
11/24/15,216,,219.75,223.75,,231.75,,240,,248.25,,257,261.25,265.75,,274.5
11/23/15,216.25,,220.25,224,,232,,240.5,,248.75,,257.25,261.75,266,,275
11/20/15,213.5,,217.25,221.25,,229,,237.25,,245.5,,254,258.25,262.5,,271.5
11/19/15,222.5,,226.25,230,,238,,246.25,,254.5,,263,267.5,271.75,,280.75
11/18/15,221,,225,229,,237,,245.25,,253.75,,262.25,266.75,271,,280
11/17/15,248.25,,252.25,256.25,,264.75,,273.5,,282.25,,291,295.5,300,,309.25
11/16/15,248.5,,252.5,256.75,,265,,273.75,,282.5,,291.5,296,300.75,,310
11/13/15,275.5,,279.75,284,,293,,301.75,,310.75,,319.75,324.5,329,,338.5
11/12/15,254.5,,258.75,263,,271.5,,280.5,,289.25,,298.25,303,307.5,,316.75
11/11/15,229,,233,237,,245.25,,253.5,,262.25,,271,275.5,280,,289
11/10/15,221.25,,225,229,,237,,245.25,,253.75,,262.5,266.75,271.25,,280.25
11/9/15,226.5,,230.5,234.5,,242.5,,250.75,,259.25,,268,272.25,276.75,,285.75
11/6/15,208.5,,212,216,,223.75,,231.75,,240,,248.5,252.75,257,,265.75
11/5/15,209.5,,213.25,217,,224.75,,232.5,,240.75,,249,253.5,257.5,,266.5
11/4/15,209.75,,213.25,217,,224.75,,232.75,,241,,249.25,253.5,257.5,,266.25
11/3/15,202,,205.75,209.5,,217,,224.75,,233,,241.25,245.5,249.75,,258.5
11/2/15,208,,211.75,215.5,,223.25,,231.25,,239.5,,247.75,252,256.5,,265.25
10/30/15,227,,230.75,234.75,,242.75,,251,,259.5,,268,272.5,277,,286
10/29/15,220,,223.75,227.5,,235.5,,243.5,,251.75,,260.25,264.5,269,,278
10/28/15,218.5,,222.25,226,,234,,242,,250.5,,259,263.25,267.5,,276.5
10/27/15,239,,243,247,,255.25,,263.75,,272.5,,281.25,285.5,290,,299
10/26/15,237.5,,241.5,245.5,,253.75,,262,,270.75,,279.5,283.75,288.25,,297.25
10/23/15,234.5,,238.5,242.5,,250.5,,258.75,,267.5,,276,280.5,285,,294
10/22/15,245,,249,253.25,,261.5,,270.25,,279,,288,292.25,297,,306
10/21/15,285.5,,289.75,294,,303,,312,,321.25,,330.5,335,339.75,,349.25
10/20/15,274.25,,278.5,282.75,,291.5,,300.5,,309.5,,318.75,323.5,328,,337.5
10/19/15,268,,272.5,276.75,,285.5,,294.25,,303.25,,312.5,317.25,321.75,,331.25
10/16/15,271.5,,275.75,279.75,,288.5,,297.25,,306,,315.25,319.75,324.5,,333.5
10/15/15,277.75,,282,286.25,,294.75,,303.5,,312.5,,321.5,326,330.75,,340
10/14/15,310,,314.5,318.75,,327.5,,336.75,,346,,355.25,360,364.5,,374
10/13/15,300.75,,305,309.5,,318.25,,327.25,,336.5,,345.5,350.25,355,,364.5
10/12/15,284.75,,289,293.25,,302,,311,,319.75,,329,333.5,338.25,,347.5
10/9/15,289.25,,293.5,297.75,,306.5,,315.25,,324.25,,333.25,338,342.5,,351.75
10/8/15,291,,295,299.25,,308,,316.75,,325.5,,334.5,339,343.75,,353
10/7/15,308.75,,313,317.5,,326.25,,335,,344,,353.25,358,362.5,,372
10/6/15,326.25,,330.75,335,,344,,353,,362.25,,371.5,376,380.75,,390
10/5/15,320.75,,325.25,329.5,,338.5,,347.5,,356.5,,365.75,370.25,375,,384.25
10/2/15,350.25,,354.75,359.25,,368.25,,377.5,,386.75,,396,400.75,405.5,,415
10/1/15,375,,379.5,384,,393.5,,402.75,,412,,421.5,426.25,431,,440.5
9/30/15,382.75,,387.5,392,,401.25,,410.75,,420,,429.5,434.25,439,,448.75
9/29/15,415.25,,420,424.75,,434,,443.75,,453.25,,463,467.75,472.5,,482.25
9/28/15,417,,421.75,426.5,,436,,445.5,,455,,464.75,469.5,474.5,,484.25
9/25/15,372,,376.75,381.25,,390.5,,399.75,,409.25,,418.75,423.5,428.25,,437.75
9/24/15,372.75,,377,381.75,,391,,400.25,,409.75,,419,424,428.75,,438.25
9/23/15,362.5,,367,371.5,,380.75,,390,,399.5,,409,413.5,418.5,,428
9/22/15,359.75,,364.25,368.75,,377.75,,387,,396.25,,405.75,410.5,415,,424.75
9/21/15,329.5,,334,338.5,,347.5,,356.5,,365.5,,375,379.5,384.25,,393.75
9/18/15,342.5,,347,351.25,,360.25,,369.25,,378.5,,387.75,392.25,397,,406.5
9/17/15,317.75,,322,326.25,,335,,343.75,,352.75,,361.75,366.5,371,,380.25
9/16/15,308,,312.25,316.5,,325.25,,333.75,,342.5,,351.5,356,360.5,,369.75
9/15/15,326.75,,331,335.25,,343.75,,352.5,,361.5,,370.5,375,379.5,,388.75
9/14/15,351.5,,355.75,360,,369,,377.75,,386.75,,395.75,400.25,404.75,,414
9/11/15,345.5,,349.75,354,,363,,371.75,,380.5,,389.5,394,398.75,,408
9/10/15,354.5,,359,363.25,,372,,380.75,,389.75,,399,403.5,408,,417.5
9/9/15,361,,365.25,369.5,,378.25,,387.25,,396.25,,405.25,410,414.5,,423.75
9/8/15,341,,345,349.5,,358,,366.75,,375.5,,384.25,388.75,393.25,,402.5
9/4/15,381.5,,385.75,390,,399,,408,,417,,426,430.75,435.5,,444.75
9/3/15,358.5,,362.75,367,,375.75,,384.5,,393.5,,402.5,407,411.75,,421
9/2/15,357.5,,361.75,366,,374.75,,383.75,,392.5,,401.75,406.25,410.75,,420
9/1/15,386.75,,391,395.5,,404.5,,413.5,,422.75,,432,436.5,441,,450.5
8/31/15,337.25,,341.5,345.75,,354.25,,363,,371.75,,380.5,385,389.5,,398.5
8/28/15,318.25,,322.25,326.5,,334.75,,343.5,,352,,360.75,365.25,369.75,,378.75
8/27/15,317,,321.25,325.5,,334,,342.75,,351.5,,360.5,365,369.5,,378.5
8/26/15,361.25,,365.75,370.25,,379.5,,388.5,,397.75,,407,411.75,416.5,,426
8/25/15,422.5,,427,431.75,,441,,450.5,,460,,469.75,474.5,479.5,,489
8/24/15,424,,428.75,433.5,,442.75,,452.25,,462,,471.5,476.25,481,,490.75
8/21/15,329.75,,334,338.25,,347,,356,,365,,374,378.5,383.25,,392.5
8/20/15,279,,283.25,287.25,,295.5,,304,,312.5,,321.25,325.75,330.25,,339.25
8/19/15,238,,241.75,245.5,,253.25,,261.25,,269.25,,277.5,281.75,286,,294.5
8/18/15,221.25,,225,228.5,,236,,243.5,,251.5,,259.5,263.5,267.5,,275.75
8/17/15,217,,220.5,224.25,,231.5,,239,,246.75,,254.5,258.5,262.75,,270.75
8/14/15,225.5,,229.25,233,,240.25,,248,,255.75,,263.75,267.75,271.75,,280.25
8/13/15,233.25,,236.75,240.5,,248,,255.75,,263.75,,272,276,280,,288.5
8/12/15,230.5,,234.25,238,,245.5,,253,,261,,269,273,277.25,,285.5
8/11/15,234,,237.75,241.5,,249.25,,257,,265,,273,277,281.25,,289.5
8/10/15,217.75,,221.25,224.75,,232,,239.75,,247.5,,255.25,259.25,263.25,,271.5
8/7/15,239,,243,246.75,,254.5,,262.25,,270.25,,278.5,282.5,286.75,,295.25
8/6/15,234.75,,238.5,242.25,,249.75,,257.5,,265.5,,273.5,277.75,282,,290.25
8/5/15,223.25,,226.75,230.25,,237.75,,245.25,,253,,261,265,269,,277.5
8/4/15,232,,235.5,239.25,,246.75,,254.5,,262.5,,270.5,274.5,278.75,,287
8/3/15,226,,229.75,233.5,,240.75,,248.5,,256.25,,264.25,268.25,272.25,,280.5
7/31/15,221.25,,224.75,228.25,,235.5,,243,,250.5,,258.25,262.25,266.25,,274.5
7/30/15,217.25,,220.75,224.25,,231.5,,238.5,,246.25,,254,257.75,261.75,,269.75
7/29/15,219.25,,222.5,226.25,,233.5,,240.75,,248.25,,256,260,263.75,,272
7/28/15,230.75,,234.25,238,,245.25,,253,,260.75,,268.5,272.5,276.5,,284.75
7/27/15,250.5,,254.25,258,,265.5,,273.25,,281.25,,289.25,293.5,297.5,,306
7/24/15,238.75,,242.5,246.25,,253.75,,261.5,,269.5,,277.5,281.5,285.5,,293.75
7/23/15,222.75,,226.25,229.75,,237,,244.5,,252,,259.75,263.5,267.5,,275.75
7/22/15,215,,218.5,222,,229,,236.25,,243.5,,251.25,255,259,,267
7/21/15,211.25,,214.5,218,,224.75,,232,,239.25,,246.75,250.5,254.25,,262
7/20/15,206.5,,209.75,213,,219.75,,226.75,,234,,241.25,245,248.75,,256.5
7/17/15,208.75,,212,215.5,,222.25,,229.25,,236.25,,243.75,247.5,251.25,,259
7/16/15,210.5,,214,217.25,,224,,231,,238.25,,245.5,249.25,253,,260.75
7/15/15,220.25,,223.5,227,,234,,241.25,,248.5,,256,260,263.75,,271.5
7/14/15,221.5,,225,228.5,,235.5,,242.75,,250.25,,257.75,261.5,265.5,,273.5
7/13/15,227.5,,231,234.25,,241.5,,249,,256.5,,264,268,272,,280
7/10/15,249.5,,253,256.75,,264.25,,272,,279.75,,287.5,291.75,295.75,,304
7/9/15,274,,277.75,281.5,,289.25,,297,,305.25,,313.25,317.5,321.5,,330
7/8/15,274.75,,278.5,282.5,,290.25,,298.25,,306.25,,314.5,318.5,322.75,,331.25
7/7/15,246.5,,250.25,253.75,,261.25,,268.5,,276.25,,284.25,288.25,292.25,,300.25
7/6/15,254.5,,258,261.75,,269.25,,277,,284.75,,292.75,296.75,300.75,,309
7/2/15,250.75,,254.5,258,,265.5,,273,,280.75,,288.75,292.75,296.75,,305
7/1/15,249,,252.5,256,,263.5,,271.25,,279,,286.75,290.75,295,,303
6/30/15,263.75,,267.5,271.25,,278.75,,286.5,,294.5,,302.5,306.5,310.5,,319
6/29/15,268.5,,272.25,276,,283.5,,291.25,,299,,307,311.25,315.25,,323.5
6/26/15,231.5,,234.75,238.25,,245.25,,252.5,,260,,267.25,271,275,,282.75
6/25/15,232.5,,236,239.5,,246.5,,253.75,,261,,268.5,272.25,276.25,,284
6/24/15,229.5,,232.75,236.25,,243,,250,,257.5,,264.75,268.5,272.25,,280
6/23/15,216.75,,220,223.25,,230,,236.75,,243.75,,250.75,254.5,258.25,,265.75
6/22/15,220.75,,224,227.5,,234,,240.75,,247.75,,255,258.75,262.5,,269.75
6/19/15,0.05,,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05
