Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
10/27/2015,172.25,175.5,,181.75,,188,,194.75,,201.5,205,208.5,,216,,223.5,,231,169.25,169.25,169.25,169.25
10/26/2015,171.75,174.75,,181,,187.5,,194,,200.75,204.25,207.75,,215,,222.25,,229.75,168.75,168.75,168.75,168.75
10/23/2015,168.5,171.5,,177.75,,184.25,,190.75,,197.5,201,204.5,,211.75,,219.25,,226.75,165.5,165.5,165.5,165.5
10/22/2015,176.25,179.5,,186,,192.5,,199.5,,206.5,210,213.75,,221.25,,229,,236.75,173,173,173,173
10/21/2015,211,214.5,,221.75,,229,,236.5,,244.25,248,252,,260.25,,268.5,,276.75,207.5,207.5,207.5,207.5
10/20/2015,200.75,204.25,,211.5,,218.5,,226,,233.5,237.5,241.25,,249.25,,257.5,,265.75,197.5,197.5,197.5,197.5
10/19/2015,195.5,199,,206,,213,,220.25,,227.75,231.5,235.5,,243.5,,251.5,,259.75,192,192,192,192
10/16/2015,199.5,203,,210,,217,,224.25,,231.5,235.5,239.25,,247,,255,,263.25,196.25,196.25,196.25,196.25
10/15/2015,205.25,208.5,,215.5,,222.75,,230,,237.5,241.25,245.25,,253,,261,,269.25,201.75,201.75,201.75,201.75
10/14/2015,233.5,237.25,,244.75,,252.25,,260,,268,272,276,,284.25,,292.75,,301.25,230,230,230,230
10/13/2015,225.75,229.25,,236.5,,244,,251.75,,259.5,263.25,267.25,,275.5,,283.75,,292.25,222.25,222.25,222.25,222.25
10/12/2015,211,214.5,,221.5,,229,,236.5,,244,248,252,,259.75,,268,,276.25,207.5,207.5,207.5,207.5
10/9/2015,216,219.5,,226.5,,233.75,,241.25,,248.75,252.5,256.5,,264.5,,272.5,,280.75,212.5,212.5,212.5,212.5
10/8/2015,217.5,221,,228,,235.5,,243,,250.5,254.25,258.25,,266.25,,274.25,,282.5,214.25,214.25,214.25,214.25
10/7/2015,233.5,237,,244.5,,252,,259.5,,267.5,271.5,275.5,,283.5,,292,,300.25,230,230,230,230
10/6/2015,248.75,252.5,,260,,268,,276,,284,288,292.25,,300.5,,309,,317.5,245,245,245,245
10/5/2015,244.25,248,,255.5,,263,,271,,279,283,287,,295.5,,303.75,,312.25,240.5,240.5,240.5,240.5
10/2/2015,270.5,274.5,,282.25,,290.25,,298.5,,307,311,315.25,,323.75,,332.5,,341.25,266.75,266.75,266.75,266.75
10/1/2015,293.5,297.5,,305.5,,313.75,,322,,330.75,335,339.25,,348,,357,,366,289.5,289.5,289.5,289.5
9/30/2015,300.75,304.75,,313,,321.25,,329.75,,338.25,342.5,347,,355.75,,364.75,,373.75,296.75,296.75,296.75,296.75
9/29/2015,330.5,334.75,,343.5,,352,,360.75,,369.75,374.25,378.75,,387.75,,396.75,,406,326.25,326.25,326.25,326.25
9/28/2015,332.5,336.5,,345,,353.75,,362.5,,371.25,375.75,380.25,,389.25,,398.5,,407.75,328.25,328.25,328.25,328.25
9/25/2015,291,295,,303.25,,311.5,,319.5,,328,332.25,336.5,,345.25,,354.25,,363,287.25,287.25,287.25,287.25
9/24/2015,291.25,295.25,,303.5,,311.5,,320,,328.5,332.75,337,,345.75,,354.5,,363.5,287.5,287.5,287.5,287.5
9/23/2015,281.5,285.5,,293.5,,301.75,,310,,318.5,322.75,327,,335.75,,344.5,,353.5,277.5,277.5,277.5,277.5
9/22/2015,279.75,283.5,,291.5,,299.5,,307.75,,316.25,320.5,324.75,,333.5,,342,,350.75,276,276,276,276
9/21/2015,252.5,256.25,,264,,271.5,,279.5,,287.5,291.5,295.5,,304,,312.25,,321,248.75,248.75,248.75,248.75
