Date,ESM6P 1985 Index,ESM6P 1990 Index,ESM6P 1995 Index,ESM6P 2000 Index,ESM6P 2005 Index,ESM6P 2010 Index,ESM6P 2015 Index,ESM6P 2020 Index,ESM6P 2025 Index,ESM6P 2030 Index,ESM6P 2035 Index,ESM6P 2040 Index,ESM6P 2045 Index,ESM6P 2050 Index,ESM6P 2055 Index,ESM6P 2060 Index,ESM6P 2065 Index,ESM6P 2070 Index,Open,High,Low,Close
5/23/2016,11.25,12,13,14,15.25,16.5,17.75,19,20.5,22,23.75,25.5,27.5,29.75,32,34.5,37,39.75,10.25,11.5,9,10.5
5/20/2016,11.75,12.5,13.5,14.5,15.75,16.75,18,19.25,20.5,22,23.5,25.25,27,29,31,33.25,35.75,38.25,15.5,15.5,10.75,11
5/19/2016,16.5,17.5,18.75,20,21.25,22.75,24.25,25.75,27.5,29,31,33,35,37.25,39.5,42,44.75,47.5,16.75,21.25,15.75,15.5
5/18/2016,16.5,17.5,18.5,19.5,20.75,22,23.5,25,26.75,28.5,30.25,32.25,34.25,36.5,38.75,41,43.5,46.25,15.25,18.25,11.25,15.5
5/17/2016,15.75,16.75,18,19,20.5,21.75,23,24.5,26.25,27.75,29.5,31.5,33.25,35.25,37.5,39.75,42.25,45,10.5,17,10.5,14.75
5/16/2016,11.75,12.5,13.5,14.25,15.25,16.25,17.5,18.5,19.75,21,22.5,23.75,25.25,27,28.75,30.5,32.5,34.5,16,16,10,11
5/13/2016,17.5,18.5,19.5,20.75,22,23.5,24.75,26.25,28,29.5,31.25,33.25,35,37.25,39.5,41.75,44,46.75,14.5,17.75,11.75,16.5
5/12/2016,14,15,15.75,16.75,17.75,19,20,21.25,22.5,24,25.5,27,28.75,30.5,32.25,34.25,36.25,38.5,13.75,16,11,13.25
5/11/2016,15,16,17,18,19,20.25,21.5,22.5,24,25.5,27,28.5,30.25,32,33.75,35.75,37.75,40,10.75,14,10.25,14.25
5/10/2016,11,11.5,12.25,13,13.75,14.75,15.5,16.5,17.5,18.75,20,21,22.5,23.75,25.25,26.75,28.5,30,12.75,14,10.25,10.25
5/9/2016,16.25,17.25,18.25,19.5,20.5,21.75,23,24.5,25.75,27.25,29,30.5,32.25,34.25,36,38.25,40.25,42.5,15.75,17.5,14.25,15.5
5/6/2016,18.5,19.5,20.5,21.5,22.75,24,25.25,26.75,28,29.75,31.25,33,34.75,36.5,38.5,40.5,42.75,45,23.25,25,18,17.5
5/5/2016,22.75,23.75,25,26.25,27.5,29,30.5,32,33.75,35.5,37.25,39.25,41,43,45.25,47.5,49.75,52,20.5,22.75,18,21.5
5/4/2016,22.75,23.75,25,26.25,27.5,28.75,30.25,31.75,33.25,35,36.5,38.5,40.5,42.5,44.5,46.75,49,51.5,20.75,24.25,19.5,21.5
5/3/2016,20.25,21.25,22.25,23.5,24.5,25.75,27,28.5,29.75,31.25,33,34.5,36.25,38,40,41.75,44,46,17.75,22,17.75,19.25
5/2/2016,16,16.75,17.5,18.5,19.5,20.5,21.5,22.75,24,25.25,26.5,27.5,29,30.5,32,33.5,35.25,37,20.25,20.25,14.75,15.5
4/29/2016,22,23,24,25,26,27.25,28.5,30,31.25,32.75,34.25,35.75,37.25,39,40.75,42.75,44.75,46.75,18.75,25,17.75,21
4/28/2016,18.5,19.5,20.5,21.25,22.25,23.25,24.5,25.5,26.75,28,29.5,30.75,32.25,33.75,35.5,37,38.75,40.5,15.5,19,12.5,17.75
4/27/2016,14,14.75,15.5,16,16.75,17.5,18.5,19.5,20.5,21.5,22.5,23.75,25,26,27.5,28.75,30.25,31.75,16,17,13.5,13.5
4/26/2016,15,15.75,16.5,17.25,18,18.75,19.75,20.75,21.75,22.75,24,25,26.25,27.5,29,30.25,31.75,33.5,15.25,15.5,14.5,14.5
4/25/2016,16.75,17.5,18.25,19,20,21,22,23,24,25.25,26.5,27.5,29,30.25,31.5,33,34.5,36.25,18.5,18.5,16,16
4/22/2016,16.25,17,17.75,18.5,19.5,20.25,21.25,22.25,23.25,24.5,25.5,26.75,28,29.5,30.75,32.25,33.75,35.25,17,18.25,16.25,15.5
4/21/2016,18.25,19,19.75,20.75,21.5,22.5,23.5,24.5,25.75,27,28,29.25,30.5,32,33.5,35,36.5,38.25,14.75,17.25,14.75,17.5
4/20/2016,15,15.75,16.5,17,18,18.75,19.5,20.5,21.5,22.5,23.5,24.5,25.75,27,28,29.5,30.75,32,14.25,14.75,13.25,14.5
4/19/2016,16,16.75,17.5,18.25,19,20,21,21.75,22.75,23.75,24.75,26,27.25,28.5,29.75,31,32.5,34,16.25,17.25,14.75,15.5
4/18/2016,17.5,18.5,19.25,20,21,21.75,22.75,23.75,24.75,25.75,26.75,28,29.25,30.5,32,33.5,35,36.5,25,25,16.5,16.75
4/15/2016,21.75,22.5,23.5,24.5,25.5,26.5,27.5,28.75,30,31.25,32.5,33.75,35.25,36.75,38.25,40,41.5,43.25,22.25,22.5,20.75,20.75
4/14/2016,22.5,23.25,24.25,25,26,27.25,28.25,29.5,30.75,32,33.25,34.5,36,37.5,39,40.5,42.25,44,21.5,23,20.75,21.5
4/13/2016,23.25,24,25,26,27,28,29,30.25,31.5,32.75,34,35.5,36.75,38.25,39.75,41.5,43,44.75,25.25,25.25,22.25,22.25
4/12/2016,30,31,32,33.25,34.5,35.75,37,38.5,40,41.5,43,44.5,46.25,48,49.75,51.75,53.75,55.75,34,37.25,30,28.75
4/11/2016,37.75,39.25,40.5,42,43.5,45,46.5,48.25,50,51.75,53.75,55.5,57.5,59.75,61.75,64,66.5,68.75,35.5,35.5,30,36.5
